Reporter,Partner,Date of Signature,Date of entry into force
Dominican Republic,Argentina,16-Mar-01,----
Dominican Republic,Chile,28-Nov-00,8-May-02
Dominican Republic,Cuba,15-Nov-99,----
Dominican Republic,Ecuador,26-Jun-98,21-Jun-99
Dominican Republic,Finland,27-Nov-01,21-Apr-07
Dominican Republic,France,14-Jan-99,23-Jan-03
Dominican Republic,Haiti,8-Oct-99,----
Dominican Republic,Italy,12-Jun-06,----
Dominican Republic,"Korea, Republic of",30-Jun-06,----
Dominican Republic,Morocco,23-May-02,----
Dominican Republic,Panama,6-Feb-03,17-Sep-06
Dominican Republic,Spain,16-Mar-95,7-Oct-96
Dominican Republic,Switzerland,27-Aug-04,30-May-06
Dominican Republic,Taiwan Province of China,5-Nov-99,27-Nov-01
Dominican Republic,United Kingdom,11-Jul-02,----
