Reporter,Partner,Date of Signature,Date of entry into force
Iran (Islamic Republic of),Afghanistan,28-May-06,2-Feb-08
Iran (Islamic Republic of),Albania,18-Nov-02,---
Iran (Islamic Republic of),Algeria,19-Oct-03,5-Dec-05
Iran (Islamic Republic of),Armenia,6-May-95,26-Feb-97
Iran (Islamic Republic of),Austria,15-Feb-01,11-Jul-04
Iran (Islamic Republic of),Azerbaijan,28-Oct-96,20-Jun-02
Iran (Islamic Republic of),Bahrain,19-Oct-02,12-Oct-04
Iran (Islamic Republic of),Bangladesh,29-Apr-01,5-Dec-02
Iran (Islamic Republic of),Belarus,14-Jul-95,23-Jun-00
Iran (Islamic Republic of),Bosnia and Herzegovina,27-Jul-96,25-Aug-00
Iran (Islamic Republic of),Bulgaria,13-Nov-98,24-Aug-03
Iran (Islamic Republic of),China,22-Jul-00,1-Jul-05
Iran (Islamic Republic of),Croatia,17-May-00,2-Aug-03
Iran (Islamic Republic of),Cyprus,2-Mar-09,---
Iran (Islamic Republic of),Djibouti,7-Dec-10,---
Iran (Islamic Republic of),Egypt,25-May-77,---
Iran (Islamic Republic of),Ethiopia,21-Oct-03,15-Dec-04
Iran (Islamic Republic of),Finland,4-Nov-02,25-Jun-04
Iran (Islamic Republic of),France,12-May-03,12-Nov-04
Iran (Islamic Republic of),Gambia,20-Jun-07,---
Iran (Islamic Republic of),Georgia,27-Sep-95,22-Jun-05
Iran (Islamic Republic of),Germany,17-Aug-02,23-Jun-05
Iran (Islamic Republic of),Greece,13-Mar-02,9-Jan-09
Iran (Islamic Republic of),Indonesia,22-Jun-05,28-Mar-09
Iran (Islamic Republic of),Italy,10-Mar-99,27-Jul-05
Iran (Islamic Republic of),Kazakhstan,16-Jan-96,3-Apr-99
Iran (Islamic Republic of),Kenya,24-Feb-09,---
Iran (Islamic Republic of),"Korea, DPR",30-Sep-02,24-Apr-05
Iran (Islamic Republic of),"Korea, Republic of",31-Oct-98,31-Mar-06
Iran (Islamic Republic of),Kuwait,13-Feb-07,---
Iran (Islamic Republic of),Kyrgyzstan,31-Jul-96,27-Jun-05
Iran (Islamic Republic of),Lebanon,28-Oct-97,14-May-00
Iran (Islamic Republic of),Libyan Arab Jamahiriya,27-Dec-06,---
Iran (Islamic Republic of),"Macedonia, TFYR",12-Jul-00,19-Aug-05
Iran (Islamic Republic of),Malaysia,22-Jul-02,5-Aug-06
Iran (Islamic Republic of),"Moldova, Republic of",30-May-95,---
Iran (Islamic Republic of),Morocco,21-Jan-01,31-Mar-03
Iran (Islamic Republic of),Oman,2-Dec-01,8-Apr-03
Iran (Islamic Republic of),Pakistan,8-Nov-95,27-Jun-98
Iran (Islamic Republic of),Philippines,8-Oct-95,---
Iran (Islamic Republic of),Poland,2-Oct-98,26-Oct-01
Iran (Islamic Republic of),Qatar,20-May-99,5-Nov-01
Iran (Islamic Republic of),Romania,26-Jan-03,12-Jan-05
Iran (Islamic Republic of),Serbia,5-Dec-03,7-Jul-06
Iran (Islamic Republic of),South Africa,3-Nov-97,5-Mar-02
Iran (Islamic Republic of),Spain,29-Oct-02,13-Jul-04
Iran (Islamic Republic of),Sri Lanka,25-Jul-00,---
Iran (Islamic Republic of),Sudan,7-Sep-99,19-Oct-01
Iran (Islamic Republic of),Sweden,5-Dec-05,1-Feb-08
Iran (Islamic Republic of),Switzerland,8-Mar-98,1-Nov-01
Iran (Islamic Republic of),Syrian Arab Republic,5-Feb-98,16-Nov-05
Iran (Islamic Republic of),Tajikistan,18-Jul-95,3-Nov-04
Iran (Islamic Republic of),Tunisia,23-Apr-01,27-Feb-03
Iran (Islamic Republic of),Turkey,21-Dec-96,13-Apr-05
Iran (Islamic Republic of),Turkmenistan,23-Jan-96,29-Apr-04
Iran (Islamic Republic of),Ukraine,21-May-96,5-Jul-03
Iran (Islamic Republic of),Uzbekistan,11-Jun-00,11-Jul-04
Iran (Islamic Republic of),Venezuela,11-Mar-05,7-Jun-06
Iran (Islamic Republic of),VietNam,23-Mar-09,---
Iran (Islamic Republic of),Yemen,29-Feb-96,16-Oct-00
Iran (Islamic Republic of),Zimbabwe,9-May-99,---
