Reporter,Partner,Date of Signature,Date of entry into force
Kyrgyzstan,Armenia,4-Jul-94,27-Oct-95
Kyrgyzstan,Azerbaijan,28-Aug-97,28-Aug-97
Kyrgyzstan,Belarus,30-Mar-99,11-Nov-01
Kyrgyzstan,China,14-May-92,8-Sep-95
Kyrgyzstan,Denmark,1-Jan-01,---
Kyrgyzstan,Finland,3-Apr-03,8-Dec-04
Kyrgyzstan,France,2-Jun-94,10-Aug-97
Kyrgyzstan,Georgia,22-Apr-97,28-Oct-97
Kyrgyzstan,Germany,28-Aug-97,16-Apr-06
Kyrgyzstan,India,16-May-97,10-Apr-98
Kyrgyzstan,Indonesia,19-Jul-95,23-Apr-97
Kyrgyzstan,"Iran, Islamic Republic of",31-Jul-96,27-Jun-05
Kyrgyzstan,Kazakhstan,8-Apr-99,---
Kyrgyzstan,"Korea, Republic of",19-Nov-07,8-Jun-08
Kyrgyzstan,Latvia,22-May-08,11-Feb-09
Kyrgyzstan,Lithuania,15-May-08,20-Feb-09
Kyrgyzstan,Malaysia,20-Jul-95,---
Kyrgyzstan,"Moldova, Republic of",7-Nov-02,16-Jan-04
Kyrgyzstan,Mongolia,5-Dec-99,---
Kyrgyzstan,Pakistan,26-Aug-95,---
Kyrgyzstan,Spain,26-Oct-90,28-Nov-91
Kyrgyzstan,Sweden,8-Mar-02,1-Apr-03
Kyrgyzstan,Switzerland,29-Jan-99,17-Apr-03
Kyrgyzstan,Tajikistan,19-Jan-00,---
Kyrgyzstan,Turkey,28-Apr-92,31-Oct-96
Kyrgyzstan,Ukraine,23-Feb-93,---
Kyrgyzstan,United Kingdom,8-Dec-94,18-Jun-98
Kyrgyzstan,United States,19-Jan-93,12-Jan-94
Kyrgyzstan,Uzbekistan,24-Dec-96,6-Feb-97
