Reporter,Partner,Date of Signature,Date of entry into force
Algeria,Argentina,4-Oct-00,28-Jan-02
Algeria,Austria,17-Jun-03,1-Jan-06
Algeria,Bahrain,11-Jun-00,16-May-08
Algeria,Belgium and Luxembourg,24-Apr-91,13-Feb-92
Algeria,Bulgaria,25-Oct-98,6-Jun-02
Algeria,China,17-Oct-96,---
Algeria,Cuba,22-Sep-99,---
Algeria,Denmark,25-Jan-99,15-Jul-05
Algeria,Egypt,29-Mar-97,3-May-00
Algeria,Ethiopia,4-Jun-02,1-Nov-05
Algeria,Finland,13-Jan-05,25-Feb-07
Algeria,France,13-Feb-93,27-Jun-00
Algeria,Germany,11-Mar-96,30-May-02
Algeria,Greece,20-Feb-00,21-Sep-07
Algeria,Indonesia,21-Mar-00,---
Algeria,"Iran, Islamic Republic of",19-Oct-03,5-Dec-05
Algeria,Italy,18-May-91,26-Nov-93
Algeria,Jordan,1-Aug-96,5-Jun-97
Algeria,"Korea, Republic of",12-Oct-99,30-Sep-01
Algeria,Kuwait,30-Sep-01,---
Algeria,Libyan Arab Jamahiriya,6-Aug-01,---
Algeria,Malaysia,27-Jan-00,---
Algeria,Mali,11-Jul-96,16-Feb-99
Algeria,Mauritania,6-Jan-08,---
Algeria,Mozambique,12-Dec-98,25-Jul-00
Algeria,Netherlands,20-Mar-07,---
Algeria,Niger,16-Mar-98,---
Algeria,Nigeria,14-Jan-02,---
Algeria,Oman,9-Apr-00,22-Jun-02
Algeria,Portugal,15-Sep-04,8-Sep-05
Algeria,Qatar,24-Oct-96,---
Algeria,Romania,28-Jun-94,30-Dec-95
Algeria,Russian Federation,10-Mar-06,---
Algeria,Serbia,13-Feb-12,---
Algeria,South Africa,24-Sep-00,---
