Reporter,Partner,Date of Signature,Date of entry into force
Armenia,Argentina,16-Apr-93,20-Dec-94
Armenia,Austria,17-Oct-01,1-Feb-03
Armenia,Belarus,26-May-01,2-Oct-02
Armenia,Belgium and Luxembourg,7-Jun-01,19-Dec-03
Armenia,Bulgaria,10-Apr-95,27-Mar-96
Armenia,Canada,8-May-97,29-Mar-99
Armenia,China,4-Jul-92,18-Mar-95
Armenia,Cyprus,18-Jan-95,1-Jul-96
Armenia,Egypt,9-Jan-96,1-Mar-06
Armenia,Finland,5-Oct-04,20-Mar-07
Armenia,France,4-Nov-95,21-Jun-97
Armenia,Georgia,4-Jun-96,18-Feb-97
Armenia,Germany,21-Dec-95,4-Aug-00
Armenia,Greece,25-May-93,28-Apr-95
Armenia,India,23-May-03,30-May-06
Armenia,"Iran, Islamic Republic of",6-May-95,26-Feb-97
Armenia,Iraq,7-Nov-12,---
Armenia,Israel,19-Jan-00,---
Armenia,Italy,23-Jul-98,13-Jan-03
Armenia,Kyrgyzstan,4-Jul-94,27-Oct-95
Armenia,Latvia,7-Oct-05,21-Apr-07
Armenia,Lebanon,1-May-95,1-Oct-98
Armenia,Lithuania,25-Apr-06,16-Mar-07
Armenia,Netherlands,10-Jun-05,---
Armenia,Qatar,22-Apr-02,---
Armenia,Romania,20-Sep-94,24-Dec-95
Armenia,Russian Federation,15-Sep-01,8-Feb-06
Armenia,Spain,26-Oct-90,28-Nov-91
Armenia,Sweden,8-Feb-06,1-May-08
Armenia,Switzerland,19-Nov-98,4-Nov-02
Armenia,Syrian Arab Republic,17-Jun-09,4-Jan-10
Armenia,Tajikistan,2-Apr-02,---
Armenia,Turkmenistan,19-Mar-96,---
Armenia,Ukraine,7-Oct-94,7-Mar-96
Armenia,United Kingdom,27-May-93,11-Jul-96
Armenia,United States,23-Sep-92,29-Mar-96
Armenia,Uruguay,6-May-02,---
Armenia,VietNam,1-Feb-93,28-Apr-93
