Reporter,Partner,Date of Signature,Date of entry into force
Bahrain,Algeria,11-Jun-00,16-May-08
Bahrain,Belarus,26-Oct-02,16-Jun-08
Bahrain,Belgium and Luxembourg,11-Jul-06,---
Bahrain,Brunei Darussalam,14-Jan-08,24-Nov-09
Bahrain,Bulgaria,26-Jun-09,---
Bahrain,China,17-Jun-99,27-Apr-00
Bahrain,Czech Republic,15-Oct-07,11-Dec-09
Bahrain,Egypt,4-Oct-97,11-Jan-99
Bahrain,France,24-Feb-04,3-Oct-05
Bahrain,Germany,5-Feb-07,27-May-10
Bahrain,India,13-Jan-04,5-Dec-07
Bahrain,"Iran, Islamic Republic of",19-Oct-02,12-Oct-04
Bahrain,Italy,29-Oct-06,28-Jun-09
Bahrain,Jordan,8-Feb-00,5-Jun-00
Bahrain,Lebanon,7-Aug-03,13-Sep-05
Bahrain,Malaysia,15-Jun-99,---
Bahrain,Morocco,7-Apr-00,9-Apr-01
Bahrain,Netherlands,5-Feb-07,1-Dec-09
Bahrain,Seychelles,24-Apr-10,---
Bahrain,Singapore,27-Oct-03,8-Dec-04
Bahrain,Spain,22-May-08,---
Bahrain,Sudan,17-Jan-00,---
Bahrain,Syrian Arab Republic,20-Sep-00,18-Dec-01
Bahrain,Thailand,21-May-02,17-Jul-02
Bahrain,Turkey,15-Feb-06,---
Bahrain,Turkmenistan,9-Feb-11,---
Bahrain,United Kingdom,30-Oct-91,30-Oct-91
Bahrain,United States,29-Sep-99,30-May-01
Bahrain,Uzbekistan,16-Nov-09,---
Bahrain,Yemen,1-Dec-02,---
