Reporter,Partner,Date of Signature,Date of entry into force
Belarus,Armenia,26-May-01,2-Oct-02
Belarus,Austria,16-May-01,1-Jun-02
Belarus,Azerbaijan,3-Jun-10,---
Belarus,Bahrain,26-Oct-02,16-Jun-08
Belarus,Belgium and Luxembourg,9-Apr-02,---
Belarus,Bosnia and Herzegovina,29-Nov-04,22-Jan-06
Belarus,Bulgaria,21-Feb-96,11-Nov-97
Belarus,China,11-Jan-93,14-Jan-95
Belarus,Croatia,26-Jun-01,14-Jul-05
Belarus,Cuba,8-Jun-00,16-Aug-01
Belarus,Cyprus,29-May-98,3-Sep-98
Belarus,Czech Republic,14-Oct-96,9-Apr-98
Belarus,Denmark,31-Mar-04,20-Jul-05
Belarus,Egypt,20-Mar-97,18-Jan-99
Belarus,Estonia,21-Oct-09,---
Belarus,Finland,8-Jun-06,10-Apr-08
Belarus,France,28-Oct-93,---
Belarus,Germany,2-Apr-93,23-Sep-96
Belarus,India,26-Nov-02,23-Nov-03
Belarus,"Iran, Islamic Republic of",14-Jul-95,23-Jun-00
Belarus,Israel,11-Apr-00,14-Aug-03
Belarus,Italy,25-Jul-95,12-Aug-97
Belarus,Jordan,20-Dec-02,22-Dec-05
Belarus,"Korea, DPR",24-Aug-06,---
Belarus,"Korea, Republic of",22-Apr-97,9-Aug-97
Belarus,Kuwait,10-Jul-01,14-Jun-03
Belarus,Kyrgyzstan,30-Mar-99,11-Nov-01
Belarus,Latvia,3-Mar-98,21-Dec-98
Belarus,Lebanon,19-Jun-01,29-Dec-02
Belarus,Libyan Arab Jamahiriya,1-Nov-00,23-Feb-02
Belarus,Lithuania,5-Mar-99,16-May-02
Belarus,"Macedonia, TFYR",20-Jun-01,---
Belarus,Mexico,4-Sep-08,27-Aug-09
Belarus,"Moldova,Republic of",28-May-99,19-Nov-99
Belarus,Mongolia,28-May-01,1-Dec-01
Belarus,Netherlands,11-Apr-95,1-Aug-96
Belarus,Oman,10-May-04,18-Jan-05
Belarus,Pakistan,22-Jan-97,---
Belarus,Poland,24-Apr-92,18-Jan-93
Belarus,Qatar,17-Feb-01,6-Aug-04
Belarus,Romania,31-May-95,8-Jan-97
Belarus,Saudi Arabia,20-Jul-09,7-Aug-10
Belarus,Serbia,6-Mar-96,25-Jan-97
Belarus,Singapore,15-May-00,13-Jan-01
Belarus,Slovakia,26-Aug-05,1-Sep-06
Belarus,Slovenia,18-Oct-06,---
Belarus,Spain,26-Oct-90,28-Nov-91
Belarus,Sweden,20-Dec-94,1-Nov-96
Belarus,Switzerland,28-May-93,13-Jul-94
Belarus,Syrian Arab Republic,11-Mar-98,1-Oct-98
Belarus,Tajikistan,3-Sep-98,25-Aug-99
Belarus,Turkey,8-Aug-95,20-Feb-97
Belarus,Ukraine,14-Dec-95,11-Jun-97
Belarus,United Arab Emirates,27-Mar-00,16-Feb-01
Belarus,United Kingdom,1-Mar-94,28-Dec-94
Belarus,United States,15-Jan-94,---
Belarus,Venezuela,6-Dec-07,13-Aug-08
Belarus,VietNam,8-Jul-92,24-Nov-94
Belarus,Yemen,18-Jul-03,---
