Reporter,Partner,Date of Signature,Date of entry into force
Belgium,and Luxembourg Albania,1-Feb-99,18-Oct-02
Belgium,Algeria,24-Apr-91,13-Feb-92
Belgium,Argentina,28-Jun-90,20-May-94
Belgium,Armenia,7-Jun-01,19-Dec-03
Belgium,Azerbaijan,18-May-04,27-May-09
Belgium,Bahrain,11-Jul-06,---
Belgium,Bangladesh,22-May-81,14-Sep-87
Belgium,Barbados,29-May-09,---
Belgium,Belarus,9-Apr-02,---
Belgium,Benin,18-May-01,30-Aug-07
Belgium,Bolivia,25-Apr-90,10-Jan-04
Belgium,Bosnia and Herzegovina,3-Mar-04,16-Sep-10
Belgium,Botswana,7-Jun-06,---
Belgium,Brazil,6-Jan-99,---
Belgium,Bulgaria,25-Oct-88,29-May-91
Belgium,Burkina Faso,18-May-01,13-Jan-04
Belgium,Burundi,13-Apr-89,12-Sep-93
Belgium,Cameroon,27-Mar-80,1-Nov-81
Belgium,Chile,15-Jul-92,5-Aug-99
Belgium,China,6-Jun-05,1-Dec-09
Belgium,Comoros,18-May-01,---
Belgium,"Congo, DR",17-Feb-05,---
Belgium,Costa Rica,26-Apr-02,---
Belgium,Côte d' Ivoire,1-Apr-99,---
Belgium,Croatia,31-Oct-01,29-Dec-03
Belgium,Cuba,19-May-98,---
Belgium,Cyprus,26-Feb-91,5-Jun-99
Belgium,Czech Republic,24-Apr-89,13-Feb-92
Belgium,Egypt,28-Feb-99,24-May-02
Belgium,El Salvador,12-Oct-99,12-Nov-02
Belgium,Estonia,24-Jan-96,23-Oct-99
Belgium,Ethiopia,26-Oct-06,---
Belgium,Gabon,27-May-98,28-May-05
Belgium,Georgia,23-Jun-93,3-Jul-99
Belgium,Guatemala,14-Apr-05,---
Belgium,"Hong Kong, China",7-Oct-96,18-Jun-01
Belgium,Hungary,14-May-86,23-Sep-88
Belgium,India,31-Oct-97,8-Jan-01
Belgium,Indonesia,15-Jan-70,17-Jun-72
Belgium,Kazakhstan,16-Apr-98,6-Feb-01
Belgium,"Korea, Republic of",12-Dec-06,27-Mar-11
Belgium,Kuwait,28-Sep-00,8-Dec-03
Belgium,Latvia,27-Mar-96,4-Apr-99
Belgium,Lebanon,6-Sep-99,5-Mar-04
Belgium,Liberia,5-Jun-85,---
Belgium,Libyan Arab Jamahiriya,15-Feb-04,8-Dec-07
Belgium,Lithuania,15-Oct-97,6-Sep-99
Belgium,"Macedonia, TFYR",17-Feb-99,4-Nov-02
Belgium,Madagascar,29-Sep-05,29-Nov-08
Belgium,Malaysia,22-Nov-79,8-Feb-82
Belgium,Malta,5-Mar-87,15-Jun-93
Belgium,Mauritania,23-Nov-83,---
Belgium,Mauritius,30-Nov-05,16-Dec-09
Belgium,Mexico,27-Aug-98,14-Mar-03
Belgium,"Moldova, Republic of",21-May-96,20-Apr-02
Belgium,Mongolia,3-Mar-92,15-Apr-00
Belgium,Montenegro,16-Feb-10,---
Belgium,Morocco,13-Apr-99,29-May-02
Belgium,Mozambique,18-Jul-06,1-Sep-09
Belgium,Nicaragua,26-May-05,---
Belgium,Oman,16-Dec-08,---
Belgium,Pakistan,23-Apr-98,---
Belgium,Panama,26-Mar-09,---
Belgium,Paraguay,6-Oct-92,9-Jan-04
Belgium,Peru,12-Oct-05,12-Sep-08
Belgium,Philippines,14-Jan-98,19-Dec-03
Belgium,Poland,19-May-87,2-Aug-91
Belgium,Qatar,6-Nov-07,---
Belgium,Romania,4-Mar-96,9-Mar-01
Belgium,Russian Federation,9-Feb-89,13-Oct-91
Belgium,Rwanda,16-Apr-07,---
Belgium,Saudi Arabia,22-Apr-01,11-Jun-04
Belgium,Serbia,6-Mar-04,12-Aug-07
Belgium,Singapore,17-Nov-78,27-Nov-80
Belgium,Slovakia,24-Apr-89,13-Feb-92
Belgium,Slovenia,1-Feb-99,14-Jan-02
Belgium,South Africa,14-Aug-98,14-Mar-03
Belgium,Sri Lanka,5-Apr-82,26-Apr-84
Belgium,Sudan,7-Nov-05,---
Belgium,Tajikistan,12-Feb-09,---
Belgium,Thailand,12-Jun-02,19-Sep-04
Belgium,Togo,6-Jun-09,---
Belgium,Tunisia,8-Jan-97,18-Oct-02
Belgium,Turkey,27-Aug-86,4-May-90
Belgium,Uganda,1-Feb-05,---
Belgium,Ukraine,20-May-96,27-Jan-01
Belgium,United Arab Emirates,5-Mar-04,10-Nov-07
Belgium,Uruguay,4-Nov-91,23-Apr-99
Belgium,Uzbekistan,17-Apr-98,6-Feb-01
Belgium,Venezuela,17-Mar-98,29-Apr-04
Belgium,VietNam,24-Jan-91,11-Jun-99
Belgium,Yemen,20-Nov-00,12-Jan-04
Belgium,Zambia,18-May-01,---
