Reporter,Partner,Date of Signature,Date of entry into force
Bolivia,Argentina,17-Mar-94,1-May-95
Bolivia,Austria,4-Apr-97,1-Jul-02
Bolivia,Belgium and Luxembourg,25-Apr-90,10-Jan-04
Bolivia,Chile,22-Sep-94,21-Jul-99
Bolivia,China,8-May-92,1-Sep-96
Bolivia,Costa Rica,7-Oct-02,---
Bolivia,Cuba,6-May-95,23-Aug-98
Bolivia,Denmark,12-Mar-95,22-Mar-97
Bolivia,Ecuador,25-May-95,15-Aug-97
Bolivia,France,25-Oct-89,12-Oct-96
Bolivia,Germany,23-Mar-87,9-Nov-90
Bolivia,Italy,30-Apr-90,22-Feb-92
Bolivia,"Korea, Republic of",1-Apr-96,4-Jun-97
Bolivia,Paraguay,3-May-01,---
Bolivia,Peru,30-Jul-93,19-Mar-95
Bolivia,Romania,9-Oct-95,16-Mar-97
Bolivia,Spain,29-Oct-01,9-Jul-02
Bolivia,Switzerland,6-Nov-87,13-May-91
Bolivia,United Kingdom,24-May-88,16-Feb-90
