Reporter,Partner,Date of Signature,Date of entry into force
Burkina Faso,Belgium and Luxembourg,18-May-01,13-Jan-04
Burkina Faso,Benin,18-May-01,---
Burkina Faso,Chad,18-May-01,---
Burkina Faso,Comoros,18-May-01,---
Burkina Faso,Germany,22-Oct-96,21-Nov-09
Burkina Faso,Ghana,18-May-01,---
Burkina Faso,Guinea,25-Mar-03,26-Aug-04
Burkina Faso,"Korea, Republic of",26-Oct-04,---
Burkina Faso,Malaysia,23-Apr-98,18-Aug-03
Burkina Faso,Mauritania,18-May-01,---
Burkina Faso,Morocco,8-Feb-07,---
Burkina Faso,Netherlands,10-Nov-00,1-Jan-04
Burkina Faso,Switzerland,6-May-69,15-Sep-69
Burkina Faso,Tunisia,7-Jan-93,---
