Reporter,Partner,Date of Signature,Date of entry into force
Cambodia,Austria,17-Dec-04,---
Cambodia,China,19-Jul-96,1-Feb-00
Cambodia,Croatia,18-May-01,15-Jun-02
Cambodia,Cuba,26-Sep-01,---
Cambodia,Czech Republic,12-May-08,23-Oct-09
Cambodia,France,13-Jul-00,24-Jul-02
Cambodia,Germany,15-Feb-99,14-Apr-02
Cambodia,Indonesia,16-Mar-99,---
Cambodia,Japan,14-Jun-07,31-Jul-08
Cambodia,"Korea, Democratic People's Republic of",1-Nov-07,---
Cambodia,"Korea, Republic of",10-Feb-97,12-Mar-97
Cambodia,Kuwait,4-Aug-08,---
Cambodia,Lao People's Democratic Republic,24-Nov-08,---
Cambodia,Malaysia,17-Aug-94,---
Cambodia,Netherlands,23-Jun-03,1-Mar-06
Cambodia,Pakistan,27-Apr-04,---
Cambodia,Philippines,16-Aug-00,---
Cambodia,Singapore,4-Nov-96,24-Feb-00
Cambodia,Switzerland,12-Oct-96,28-Mar-00
Cambodia,Thailand,29-Mar-95,16-Apr-97
Cambodia,VietNam,1-Sep-01,---
