Reporter,Partner,Date of Signature,Date of entry into force
Canada,Argentina,5-Nov-91,29-Apr-93
Canada,Armenia,8-May-97,29-Mar-99
Canada,Bangladesh,9-Feb-90,12-Mar-90
Canada,Barbados,29-May-96,17-Jan-97
Canada,Benin,9-Jan-13,---
Canada,Bosnia and Herzegovina,21-Dec-79,28-Dec-80
Canada,China,9-Sep-12,---
Canada,Costa Rica,18-Mar-98,29-Sep-99
Canada,Croatia,3-Feb-97,30-Jan-01
Canada,Czech Republic,6-May-09,22-Jan-12
Canada,Ecuador,29-Apr-96,6-Jun-97
Canada,Egypt,13-Nov-96,3-Nov-97
Canada,El Salvador,31-May-99,---
Canada,Hungary,3-Oct-91,21-Nov-93
Canada,Jordan,28-Jun-09,14-Dec-09
Canada,Kuwait,26-Sep-11,---
Canada,Latvia,5-May-09,24-Nov-11
Canada,Lebanon,11-Apr-97,19-Jun-99
Canada,Panama,12-Sep-96,13-Feb-98
Canada,Peru,14-Nov-06,20-Jun-07
Canada,Philippines,10-Nov-95,1-Nov-96
Canada,Poland,26-Oct-90,22-Nov-90
Canada,Romania,8-May-09,23-Nov-11
Canada,Russian Federation,20-Nov-89,27-Jun-91
Canada,Singapore,30-Jul-71,30-Jul-71
Canada,Slovakia,20-Jul-10,14-Mar-12
Canada,South Africa,27-Nov-95,---
Canada,"Tanzania, United Republic",17-May-13,---
Canada,Thailand,17-Jan-97,24-Sep-98
Canada,Trinidad and Tobago,11-Sep-95,8-Jul-96
Canada,Ukraine,24-Oct-94,24-Jun-95
Canada,Uruguay,29-Oct-97,2-Jun-99
Canada,Venezuela,1-Jul-96,28-Jan-98
