Reporter,Partner,Date of Signature,Date of entry into force
China,Albania,13-Feb-93,1-Sep-95
China,Algeria,17-Oct-96,---
China,Argentina,5-Nov-92,1-Aug-94
China,Armenia,4-Jul-92,18-Mar-95
China,Australia,11-Jul-88,11-Jul-88
China,Austria,12-Sep-85,11-Oct-86
China,Azerbaijan,8-Mar-94,1-Apr-95
China,Bahamas,4-Sep-09,---
China,Bahrain,17-Jun-99,27-Apr-00
China,Bangladesh,12-Sep-96,25-Mar-97
China,Barbados,20-Jul-98,1-Oct-99
China,Belarus,11-Jan-93,14-Jan-95
China,Belgium and Luxembourg,6-Jun-05,1-Dec-09
China,Benin,18-Feb-04,---
China,Bolivia,8-May-92,1-Sep-96
China,Bosnia and Herzegovina,26-Jun-02,1-Jan-05
China,Botswana,12-Jun-00,---
China,Brunei Darussalam,17-Nov-00,---
China,Bulgaria,26-Jun-07,10-Nov-07
China,Cambodia,19-Jul-96,1-Feb-00
China,Canada,9-Sep-12,---
China,Cape Verde,21-Apr-98,1-Jan-01
China,Chad,26-Apr-10,---
China,Chile,23-Mar-94,1-Aug-95
China,Colombia,22-Nov-08,2-Jul-12
China,Congo,20-Mar-00,---
China,"Congo, DR",11-Aug-11,---
China,Costa Rica,24-Oct-07,---
China,Côte d' Ivoire,23-Sep-02,---
China,Croatia,7-Jun-93,1-Jul-94
China,Cuba,20-Apr-07,1-Dec-08
China,Cyprus,17-Jan-01,29-Apr-02
China,Czech Republic,8-Dec-05,1-Sep-06
China,Denmark,29-Apr-85,29-Apr-85
China,Djibouti,18-Aug-03,---
China,Ecuador,21-Mar-94,1-Jul-97
China,Egypt,21-Apr-94,1-Apr-96
China,Equatorial Guinea,20-Oct-05,---
China,Estonia,2-Sep-93,1-Jun-94
China,Ethiopia,11-May-98,1-May-00
China,Finland,15-Nov-04,15-Nov-06
China,France,26-Nov-07,20-Aug-10
China,Gabon,9-May-97,16-Feb-09
China,Georgia,3-Jun-93,1-Mar-95
China,Germany,1-Dec-03,11-Nov-05
China,Ghana,12-Oct-89,22-Nov-91
China,Greece,25-Jun-92,21-Dec-93
China,Guinea,18-Nov-05,---
China,Guyana,27-Mar-03,26-Oct-04
China,Hungary,29-May-91,1-Apr-93
China,Iceland,31-Mar-94,1-Mar-97
China,India,21-Nov-06,1-Aug-07
China,Indonesia,18-Nov-94,1-Apr-95
China,"Iran, Islamic Republic of",22-Jul-00,1-Jul-05
China,Israel,10-Apr-95,13-Jan-09
China,Italy,28-Jan-85,28-Aug-87
China,Jamaica,26-Oct-94,1-Apr-96
China,Japan,27-Aug-88,14-May-89
China,Jordan,15-Nov-01,---
China,Kazakhstan,10-Aug-92,13-Aug-94
China,Kenya,16-Jul-01,---
China,"Korea, DR",22-Mar-05,1-Oct-05
China,"Korea, Republic of",7-Sep-07,1-Dec-07
China,Kuwait,23-Nov-85,24-Dec-86
China,Kyrgyzstan,14-May-92,8-Sep-95
China,"Lao, PDR",31-Jan-93,1-Jun-93
China,Latvia,15-Apr-04,1-Feb-06
China,Lebanon,13-Jun-96,10-Jul-97
China,Libyan Arab Jamahiriya,4-Aug-10,---
China,Lithuania,8-Nov-93,1-Jun-94
