Reporter,Partner,Date of Signature,Date of entry into force
"Congo, DR",Belgium and Luxembourg,17-Feb-05,---
"Congo, DR",China,11-Aug-11,---
"Congo, DR",Egypt,18-Dec-98,---
"Congo, DR",France,5-Oct-72,1-Mar-75
"Congo, DR",Germany,18-Mar-69,22-Jul-71
"Congo, DR",Greece,26-Apr-91,---
"Congo, DR",India,13-Apr-10,---
"Congo, DR",Israel,14-May-85,---
"Congo, DR",Italy,13-Sep-06,---
"Congo, DR",Jordan,23-Jun-04,---
"Congo, DR","Korea, Republic of",17-Mar-05,---
"Congo, DR",Portugal,3-Mar-11,---
"Congo, DR",South Africa,31-Aug-04,---
"Congo, DR",Switzerland,10-Mar-72,10-May-73
"Congo, DR",United States,3-Aug-84,28-Jul-89
