Reporter,Partner,Date of Signature,Date of entry into force
Costa Rica,Argentina,21-May-97,1-May-01
Costa Rica,Belgium and Luxembourg,26-Apr-02,---
Costa Rica,Bolivia,7-Oct-02,---
Costa Rica,Canada,18-Mar-98,29-Sep-99
Costa Rica,Chile,11-Jul-96,23-Jun-00
Costa Rica,China,24-Oct-07,---
Costa Rica,Czech Republic,21-Oct-98,5-Mar-01
Costa Rica,Ecuador,6-Dec-01,---
Costa Rica,El Salvador,21-Nov-01,---
Costa Rica,Finland,28-Nov-01,---
Costa Rica,France,8-Mar-84,18-Jun-99
Costa Rica,Germany,13-Sep-94,24-Apr-98
Costa Rica,"Korea, Republic of",11-Aug-00,26-Aug-02
Costa Rica,Netherlands,21-May-99,1-Jul-01
Costa Rica,Paraguay,29-Jan-98,25-May-01
Costa Rica,Qatar,25-Dec-10,---
Costa Rica,Spain,8-Jul-97,9-Jun-99
Costa Rica,Switzerland,1-Aug-00,19-Nov-02
Costa Rica,Taiwan Province of China,25-Mar-99,8-Oct-04
Costa Rica,United Kingdom,7-Sep-82,---
Costa Rica,Venezuela,17-Mar-97,2-May-01
