Reporter,Partner,Date of Signature,Date of entry into force
Croatia,Albania,10-Feb-09,8-Apr-10
Croatia,Argentina,2-Dec-94,1-Jun-96
Croatia,Austria,19-Feb-97,1-Nov-99
Croatia,Azerbaijan,2-Nov-07,30-May-08
Croatia,Belarus,26-Jun-01,14-Jul-05
Croatia,Belgium and Luxembourg,31-Oct-01,29-Dec-03
Croatia,Bosnia and Herzegovina,23-Jul-02,3-Jan-05
Croatia,Bulgaria,25-Jun-96,20-Feb-98
Croatia,Cambodia,18-May-01,15-Jun-02
Croatia,Canada,3-Feb-97,30-Jan-01
Croatia,Chile,28-Nov-94,15-Jun-96
Croatia,China,7-Jun-93,1-Jul-94
Croatia,Cuba,16-Feb-01,---
Croatia,Czech Republic,8-Sep-08,31-Aug-09
Croatia,Denmark,5-Jul-00,12-Jan-02
Croatia,Egypt,27-Oct-97,2-May-99
Croatia,Finland,1-Jun-99,1-Nov-02
Croatia,France,3-Jun-96,5-Mar-98
Croatia,Germany,21-Mar-97,28-Sep-00
Croatia,Greece,18-Oct-96,21-Oct-98
Croatia,Hungary,15-May-96,1-Mar-02
Croatia,India,4-May-01,19-Jan-02
Croatia,Indonesia,20-Sep-02,---
Croatia,"Iran, Islamic Republic of",17-May-00,2-Aug-03
Croatia,Israel,30-Mar-11,---
Croatia,Italy,5-Nov-96,12-Jun-98
Croatia,Jordan,10-Oct-99,27-Apr-00
Croatia,"Korea, Republic of",19-Jul-05,31-May-06
Croatia,Kuwait,8-Mar-97,2-Jul-98
Croatia,Latvia,17-Aug-02,25-May-05
Croatia,Libyan Arab Jamahiriya,20-Dec-02,---
Croatia,Lithuania,15-Apr-08,30-Jan-09
Croatia,"Macedonia, TFYR",15-May-96,1-Mar-02
Croatia,Malaysia,16-Dec-94,19-Jul-96
Croatia,Malta,11-Jul-01,10-May-02
Croatia,"Moldova, Republic of",5-Dec-01,20-Mar-07
Croatia,Mongolia,8-Aug-06,---
Croatia,Morocco,29-Sep-04,---
Croatia,Netherlands,28-Apr-98,1-Jun-99
Croatia,Oman,4-May-04,---
Croatia,Poland,21-Feb-95,4-Oct-95
Croatia,Portugal,9-May-95,27-Nov-97
Croatia,Qatar,12-Nov-01,---
Croatia,Romania,30-Apr-10,20-Jul-11
Croatia,Russian Federation,20-May-96,---
Croatia,San Marino,7-May-04,27-Jul-05
Croatia,Serbia,18-Aug-98,31-Jan-02
Croatia,Slovakia,1-Jul-08,18-Nov-09
Croatia,Slovenia,12-Dec-97,8-Jul-02
Croatia,Spain,21-Jul-97,17-Sep-98
Croatia,Sweden,23-Nov-00,1-Aug-02
Croatia,Switzerland,30-Oct-96,17-Jun-97
Croatia,Thailand,18-Feb-00,10-Aug-05
Croatia,Turkey,18-Feb-09,---
Croatia,Ukraine,15-Dec-97,5-Jun-01
Croatia,United Kingdom,11-Mar-97,16-Apr-98
Croatia,United States,13-Jul-96,20-Jun-01
Croatia,Zimbabwe,18-Feb-00,---
