Reporter,Partner,Date of Signature,Date of entry into force
Cyprus,Albania,5-Aug-10,---
Cyprus,Armenia,18-Jan-95,1-Jul-96
Cyprus,Belarus,29-May-98,3-Sep-98
Cyprus,Belgium and Luxembourg,26-Feb-91,5-Jun-99
Cyprus,Bulgaria,12-Nov-87,18-May-88
Cyprus,China,17-Jan-01,29-Apr-02
Cyprus,Czech Republic,15-Jun-01,25-Sep-02
Cyprus,Egypt,21-Oct-98,11-May-99
Cyprus,Greece,30-Mar-92,26-Feb-93
Cyprus,Hungary,24-May-89,25-May-90
Cyprus,India,9-Apr-02,12-Jan-04
Cyprus,"Iran, Islamic Republic of",2-Mar-09,---
Cyprus,Israel,13-Oct-98,---
Cyprus,Italy,27-Apr-04,---
Cyprus,Jordan,20-Dec-09,19-Jul-10
Cyprus,Lebanon,9-Apr-01,19-Mar-03
Cyprus,Malta,9-Sep-02,30-Nov-03
Cyprus,"Moldova, Republic of",13-Sep-07,27-Mar-08
Cyprus,Montenegro,21-Jun-05,---
Cyprus,Poland,4-Jun-92,6-Jul-93
Cyprus,Qatar,11-Nov-08,---
Cyprus,Romania,26-Jul-91,10-Jul-93
Cyprus,Russian Federation,11-Apr-97,---
Cyprus,San Marino,13-Sep-06,27-Jun-07
Cyprus,Serbia,21-Jul-05,9-Dec-05
Cyprus,Seychelles,28-May-98,19-Mar-99
Cyprus,Syrian Arab Republic,10-Jun-07,30-Dec-07
