Reporter,Partner,Date of Signature,Date of entry into force
Denmark,Albania,5-Sep-95,18-Jan-96
Denmark,Algeria,25-Jan-99,15-Jul-05
Denmark,Argentina,6-Nov-92,2-Feb-95
Denmark,Bangladesh,5-Nov-09,---
Denmark,Belarus,31-Mar-04,20-Jul-05
Denmark,Bolivia,12-Mar-95,22-Mar-97
Denmark,Bosnia and Herzegovina,24-Mar-04,13-Jun-08
Denmark,Brazil,4-May-95,---
Denmark,Bulgaria,14-Apr-93,20-May-95
Denmark,Chile,28-May-93,3-Nov-95
Denmark,China,29-Apr-85,29-Apr-85
Denmark,Croatia,5-Jul-00,12-Jan-02
Denmark,Cuba,19-Feb-01,---
Denmark,Egypt,24-Jun-96,29-Oct-00
Denmark,Estonia,6-Nov-91,24-Feb-93
Denmark,Ethiopia,24-Apr-01,21-Aug-05
Denmark,Ghana,13-Jan-92,6-Jan-95
Denmark,"Hong Kong, China",2-Feb-94,4-Mar-94
Denmark,Hungary,2-May-88,18-Oct-88
Denmark,India,6-Sep-95,28-Aug-96
Denmark,Indonesia,22-Jan-07,---
Denmark,"Korea, DPR",10-Sep-96,25-Dec-97
Denmark,"Korea, Republic of",2-Jun-88,2-Jun-88
Denmark,Kuwait,1-Jun-01,29-Jan-02
Denmark,Kyrgyzstan,1-Jan-01,---
Denmark,Lao PDR,9-Sep-98,9-May-99
Denmark,Latvia,30-Mar-92,18-Nov-94
Denmark,Lithuania,30-Mar-92,8-Jan-93
Denmark,Malaysia,6-Jan-92,18-Sep-92
Denmark,Mexico,13-Apr-00,23-Sep-00
Denmark,Mongolia,13-Mar-95,2-Apr-96
Denmark,Montenegro,11-Feb-09,---
Denmark,Morocco,22-May-03,---
Denmark,Mozambique,12-Oct-02,30-Dec-02
Denmark,Nicaragua,12-Mar-95,23-Sep-05
Denmark,Pakistan,18-Jul-96,25-Sep-96
Denmark,Paraguay,22-Apr-93,---
Denmark,Peru,23-Nov-94,17-Feb-95
Denmark,Philippines,25-Sep-97,19-Apr-98
Denmark,Poland,1-May-90,13-Oct-90
Denmark,Romania,14-Jun-94,24-Aug-95
Denmark,Russian Federation,4-Nov-93,26-Aug-96
Denmark,Serbia,15-May-09,---
Denmark,Slovakia,6-Mar-91,19-Sep-92
Denmark,Slovenia,12-May-99,30-Mar-02
Denmark,South Africa,22-Feb-96,23-Apr-97
Denmark,Sri Lanka,4-Jun-85,4-Jun-85
Denmark,"Tanzania, United Republic",22-Apr-99,21-Oct-05
Denmark,Tunisia,28-Jun-96,11-Apr-97
Denmark,Turkey,7-Feb-90,1-Aug-92
Denmark,Uganda,26-Nov-01,19-Oct-05
Denmark,Ukraine,23-Oct-92,29-Apr-94
Denmark,Venezuela,28-Nov-94,19-Sep-96
Denmark,VietNam,23-Jul-93,7-Aug-94
Denmark,Zimbabwe,25-Oct-96,2-Feb-99
