Reporter,Partner,Date of Signature,Date of entry into force
Egypt,Albania,22-May-93,6-Apr-94
Egypt,Algeria,29-Mar-97,3-May-00
Egypt,Argentina,11-May-92,3-Dec-93
Egypt,Armenia,9-Jan-96,1-Mar-06
Egypt,Australia,3-May-01,5-Sep-02
Egypt,Austria,12-Apr-01,29-Apr-02
Egypt,Azerbaijan,24-Oct-02,---
Egypt,Bahrain,4-Oct-97,11-Jan-99
Egypt,Belarus,20-Mar-97,18-Jan-99
Egypt,Belgium and Luxembourg,28-Feb-99,24-May-02
Egypt,Bosnia and Herzegovina,11-Mar-98,29-Oct-01
Egypt,Bulgaria,15-Mar-98,8-Jun-00
Egypt,Cameroon,24-Oct-00,---
Egypt,Canada,13-Nov-96,3-Nov-97
Egypt,Central African Republic,7-Feb-00,---
Egypt,Chad,14-Mar-98,---
Egypt,Chile,5-Aug-99,---
Egypt,China,21-Apr-94,1-Apr-96
Egypt,Comoros,13-Nov-94,27-Feb-00
Egypt,"Congo, DR",18-Dec-98,---
Egypt,Croatia,27-Oct-97,2-May-99
Egypt,Cyprus,21-Oct-98,11-May-99
Egypt,Czech Republic,29-May-93,4-Jun-94
Egypt,Denmark,24-Jun-96,29-Oct-00
Egypt,Djibouti,21-Jul-98,---
Egypt,Ethiopia,27-Jul-06,27-May-10
Egypt,Finland,3-Mar-04,5-Feb-05
Egypt,France,22-Dec-74,1-Oct-75
Egypt,Gabon,22-Dec-97,---
Egypt,Georgia,10-Aug-99,---
Egypt,Germany,16-Jun-05,22-Nov-09
Egypt,Ghana,11-Mar-98,---
Egypt,Greece,16-Jul-93,6-Apr-95
Egypt,Guinea,6-Mar-98,---
Egypt,Hungary,23-May-95,21-Aug-97
Egypt,Iceland,8-Jan-08,15-Jun-09
Egypt,India,9-Apr-97,22-Nov-00
Egypt,Indonesia,19-Jan-94,29-Nov-94
Egypt,"Iran, Islamic Republic of",25-May-77,---
Egypt,Italy,2-Mar-89,1-May-94
Egypt,Jamaica,10-Feb-99,---
Egypt,Japan,28-Jan-77,14-Jan-78
Egypt,Jordan,8-May-96,11-Apr-98
Egypt,Kazakhstan,14-Feb-93,8-Aug-96
Egypt,"Korea, DPR",19-Aug-99,12-Jan-00
Egypt,"Korea, Republic of",18-Mar-96,25-May-97
Egypt,Kuwait,17-Apr-01,26-Apr-02
Egypt,Latvia,24-Apr-97,3-Jun-98
Egypt,Lebanon,16-Mar-96,2-Jun-97
Egypt,Libyan Arab Jamahiriya,3-Dec-90,4-Jul-91
Egypt,"Macedonia, TFYR",22-Nov-99,---
Egypt,Malawi,21-Oct-97,7-Sep-99
Egypt,Malaysia,14-Apr-97,3-Feb-00
Egypt,Mali,9-Mar-98,7-Jul-00
Egypt,Malta,20-Feb-99,17-Jul-00
Egypt,Mongolia,27-Apr-04,25-Jan-05
Egypt,Morocco,14-May-97,1-Jul-98
Egypt,Mozambique,8-Dec-98,---
Egypt,Netherlands,17-Jan-96,1-Mar-98
Egypt,Niger,4-Mar-98,---
Egypt,Nigeria,20-Jun-00,---
Egypt,Oman,25-Mar-98,3-Mar-00
Egypt,Pakistan,16-Apr-00,---
Egypt,Palestinian Territory,28-Apr-98,19-Jun-99
Egypt,Poland,1-Jul-95,17-Jan-98
Egypt,Portugal,29-Apr-99,23-Dec-00
Egypt,Qatar,12-Feb-99,14-Jul-06
Egypt,Romania,24-Nov-94,3-Apr-96
Egypt,Russian Federation,23-Sep-97,12-Jun-00
Egypt,Saudi Arabia,13-Mar-90,18-Dec-90
Egypt,Senegal,5-Mar-98,---
Egypt,Serbia,24-May-05,---
Egypt,Seychelles,22-Jan-02,---
Egypt,Singapore,15-Apr-97,20-Mar-02
Egypt,Slovakia,30-Apr-97,1-Jan-00
Egypt,Slovenia,28-Oct-98,7-Feb-00
Egypt,Somalia,29-May-82,16-Apr-83
Egypt,South Africa,28-Oct-98,---
Egypt,Spain,3-Nov-92,26-Apr-94
Egypt,Sri Lanka,11-Mar-96,10-Mar-98
Egypt,Sudan,8-Jul-01,1-Apr-03
Egypt,Swaziland,18-Jul-00,---
Egypt,Sweden,15-Jul-78,29-Jan-79
Egypt,Switzerland,7-Jun-10,15-May-12
Egypt,Syrian Arab Republic,28-Apr-97,5-Oct-98
Egypt,"Tanzania, United Republic",30-Apr-97,---
Egypt,Thailand,18-Feb-00,27-Feb-02
Egypt,Tunisia,8-Dec-89,2-Jan-91
Egypt,Turkey,4-Oct-96,31-Jul-02
Egypt,Turkmenistan,23-May-95,28-Feb-96
Egypt,Uganda,4-Nov-95,---
Egypt,Ukraine,21-Dec-92,10-Oct-93
Egypt,United Arab Emirates,11-May-97,11-Jan-99
Egypt,United Kingdom,11-Jun-75,24-Feb-76
Egypt,United States,11-Mar-86,27-Jun-92
Egypt,Uzbekistan,16-Dec-92,8-Feb-94
Egypt,VietNam,6-Sep-97,4-Mar-02
Egypt,Yemen,6-Jun-96,10-Apr-98
Egypt,Zambia,28-Apr-00,---
Egypt,Zimbabwe,2-Jun-99,---
