Reporter,Partner,Date of Signature,Date of entry into force
Estonia,Austria,16-May-94,1-Oct-95
Estonia,Azerbaijan,7-Apr-10,---
Estonia,Belarus,21-Oct-09,---
Estonia,Belgium and Luxembourg,24-Jan-96,23-Oct-99
Estonia,China,2-Sep-93,1-Jun-94
Estonia,Denmark,6-Nov-91,24-Feb-93
Estonia,Finland,13-Feb-92,2-Dec-92
Estonia,France,14-May-92,25-Sep-95
Estonia,Germany,12-Nov-92,12-Jan-97
Estonia,Greece,17-Apr-97,7-Jul-98
Estonia,Israel,14-Mar-94,23-May-95
Estonia,Italy,20-Mar-97,9-May-00
Estonia,Jordan,10-May-10,---
Estonia,Latvia,7-Feb-96,23-May-96
Estonia,Lithuania,7-Sep-95,20-Jun-96
Estonia,"Moldova, Republic of",18-Jun-10,21-Apr-11
Estonia,Morocco,25-Sep-09,4-Nov-12
Estonia,Netherlands,27-Oct-92,1-Sep-93
Estonia,Norway,15-Jun-92,15-Jun-92
Estonia,Poland,6-May-93,6-Aug-93
Estonia,Spain,11-Nov-97,1-Jul-98
Estonia,Sweden,31-Mar-92,20-May-92
Estonia,Switzerland,21-Dec-92,18-Aug-93
Estonia,Turkey,3-Jun-97,29-Apr-99
Estonia,Ukraine,15-Feb-95,5-Jul-95
Estonia,United Kingdom,12-May-94,16-Dec-94
Estonia,United States,19-Apr-94,16-Feb-97
