Reporter,Partner,Date of Signature,Date of entry into force
Ethiopia,Algeria,4-Jun-02,1-Nov-05
Ethiopia,Austria,12-Nov-04,1-Nov-05
Ethiopia,Belgium and Luxembourg,26-Oct-06,---
Ethiopia,China,11-May-98,1-May-00
Ethiopia,Denmark,24-Apr-01,21-Aug-05
Ethiopia,Egypt,27-Jul-06,27-May-10
Ethiopia,Equatorial Guinea,11-Jun-09,---
Ethiopia,Finland,23-Feb-06,3-May-07
Ethiopia,France,25-Jun-03,7-Aug-04
Ethiopia,Germany,19-Jan-04,4-May-06
Ethiopia,India,5-Jul-07,---
Ethiopia,"Iran, Islamic Republic of",21-Oct-03,15-Dec-04
Ethiopia,Israel,26-Nov-03,22-Mar-04
Ethiopia,Italy,23-Dec-94,8-May-97
Ethiopia,Kuwait,14-Sep-96,12-Nov-98
Ethiopia,Libyan Arab Jamahiriya,27-Jan-04,25-Jun-04
Ethiopia,Malaysia,22-Oct-98,4-Jun-99
Ethiopia,Netherlands,16-May-03,1-Jul-05
Ethiopia,Nigeria,19-Jan-04,---
Ethiopia,Russian Federation,10-Feb-00,6-Jun-00
Ethiopia,South Africa,1-Jan-08,---
Ethiopia,Spain,17-Mar-09,---
Ethiopia,Sudan,7-Mar-00,15-May-01
Ethiopia,Sweden,10-Dec-04,1-Oct-05
Ethiopia,Switzerland,26-Jun-98,7-Dec-98
Ethiopia,Tunisia,14-Dec-00,2-Oct-04
Ethiopia,Turkey,16-Nov-00,10-Mar-05
Ethiopia,United Kingdom,19-Nov-09,---
Ethiopia,Yemen,15-Apr-99,15-Apr-00
