Reporter,Partner,Date of Signature,Date of entry into force
France,Albania,13-Jun-95,14-Jun-96
France,Algeria,13-Feb-93,27-Jun-00
France,Argentina,3-Jul-91,3-Mar-93
France,Armenia,4-Nov-95,21-Jun-97
France,Azerbaijan,1-Sep-98,24-Aug-00
France,Bahrain,24-Feb-04,3-Oct-05
France,Bangladesh,10-Sep-85,9-Oct-86
France,Belarus,28-Oct-93,---
France,Bolivia,25-Oct-89,12-Oct-96
France,Bosnia and Herzegovina,12-Dec-03,18-Dec-05
France,Brazil,21-Mar-95,---
France,Bulgaria,5-Apr-89,1-May-90
France,Cambodia,13-Jul-00,24-Jul-02
France,Chad,11-Aug-60,---
France,Chile,14-Jul-92,24-Jul-94
France,China,26-Nov-07,20-Aug-10
France,"Congo, DR",5-Oct-72,1-Mar-75
France,Costa Rica,8-Mar-84,18-Jun-99
France,Croatia,3-Jun-96,5-Mar-98
France,Cuba,25-Apr-97,6-Nov-99
France,Czech Republic,13-Sep-90,27-Sep-91
France,Djibouti,13-Dec-07,---
France,Dominican Republic,14-Jan-99,23-Jan-03
France,Ecuador,7-Sep-94,10-Jun-96
France,Egypt,22-Dec-74,1-Oct-75
France,El Salvador,20-Sep-78,12-Dec-92
France,Equatorial Guinea,3-Mar-82,23-Sep-83
France,Estonia,14-May-92,25-Sep-95
France,Ethiopia,25-Jun-03,7-Aug-04
France,Georgia,3-Feb-97,13-Apr-00
France,Ghana,26-Mar-99,---
France,Guatemala,27-May-98,28-Oct-01
France,Haiti,23-May-84,25-Mar-85
France,Honduras,28-Apr-98,8-Mar-01
France,"Hong Kong, China",30-Nov-95,30-May-97
France,Hungary,6-Nov-86,30-Sep-87
France,India,2-Sep-97,17-May-00
France,Indonesia,14-Jun-73,29-Apr-75
France,"Iran, Islamic Republic of",12-May-03,12-Nov-04
France,Iraq,31-Oct-10,---
France,Israel,9-Jun-83,11-Jan-85
France,Jamaica,25-Jan-93,15-Sep-94
France,Jordan,23-Feb-78,18-Oct-79
France,Kazakhstan,3-Feb-98,21-Aug-00
France,Kenya,4-Dec-07,---
France,"Korea, Republic of",28-Dec-77,1-Feb-79
France,Kuwait,27-Sep-89,16-May-91
France,Kyrgyzstan,2-Jun-94,10-Aug-97
France,Lao PDR,12-Dec-89,8-Mar-91
France,Latvia,15-May-92,1-Oct-94
France,Lebanon,28-Nov-96,29-Oct-99
France,Liberia,23-Mar-79,22-Jan-82
France,Libyan Arab Jamahiriya,19-Apr-04,29-Jan-06
France,Lithuania,23-Apr-92,27-Mar-95
France,"Macedonia, TFYR",28-Jan-98,31-Mar-00
France,Madagascar,25-Jul-03,17-Apr-05
France,Malaysia,24-Apr-75,1-Aug-76
France,Malta,11-Aug-76,1-Jan-78
France,Mauritius,8-Mar-10,---
France,Mexico,12-Nov-98,12-Oct-00
France,"Moldova, Republic of",8-Sep-97,3-Nov-99
France,Mongolia,8-Nov-91,22-Dec-93
France,Morocco,13-Jan-96,30-May-99
France,Mozambique,15-Nov-02,6-Jul-06
France,Namibia,25-Jun-98,26-Feb-06
France,Nepal,2-May-83,13-Jun-85
France,Nicaragua,13-Feb-98,31-Mar-00
France,Nigeria,27-Feb-90,19-Aug-91
France,Oman,17-Oct-94,4-Jul-96
France,Pakistan,1-Jun-83,14-Dec-84
France,Panama,5-Nov-82,9-Oct-85
France,Paraguay,30-Nov-78,11-Dec-80
France,Peru,6-Oct-93,30-May-96
France,Philippines,13-Sep-94,13-Jun-96
France,Poland,14-Feb-89,10-Feb-90
France,Qatar,8-Jul-96,27-Jul-00
France,Romania,21-Mar-95,20-Jun-96
France,Russian Federation,4-Jul-89,18-Jul-91
France,Saudi Arabia,26-Jun-02,18-Mar-04
France,Serbia,28-Mar-74,3-Mar-75
France,Singapore,8-Sep-75,18-Oct-76
France,Slovakia,13-Sep-90,27-Sep-91
France,Slovenia,11-Feb-98,5-Aug-00
France,South Africa,11-Oct-95,22-Jun-97
France,Sri Lanka,10-Apr-80,19-Apr-82
France,Sudan,31-Jul-78,5-Jul-80
France,Syrian Arab Republic,12-May-09,---
France,Tajikistan,1-Jan-02,24-Aug-04
France,Trinidad and Tobago,28-Oct-93,16-May-96
France,Tunisia,20-Oct-97,10-Sep-99
France,Turkey,15-Jun-06,3-Aug-09
France,Turkmenistan,28-Apr-94,2-May-96
France,Uganda,3-Jan-03,20-Dec-04
France,Ukraine,3-May-94,26-Jan-96
France,United Arab Emirates,9-Sep-91,10-Jan-95
France,Uruguay,14-Oct-93,9-Jul-97
France,Uzbekistan,27-Oct-93,15-Jun-96
France,Venezuela,2-Jul-01,30-Apr-04
France,VietNam,26-May-92,10-Aug-94
France,Yemen,27-Apr-84,19-Jul-91
France,Zambia,1-Jan-02,---
France,Zimbabwe,4-May-01,---
