Reporter,Partner,Date of Signature,Date of entry into force
Georgia,Armenia,4-Jun-96,18-Feb-97
Georgia,Austria,1-Oct-01,1-Mar-04
Georgia,Azerbaijan,8-Mar-96,10-Jul-96
Georgia,Belgium and Luxembourg,23-Jun-93,3-Jul-99
Georgia,Bulgaria,19-Jan-95,6-Aug-99
Georgia,China,3-Jun-93,1-Mar-95
Georgia,Czech Republic,29-Aug-09,13-Mar-11
Georgia,Egypt,10-Aug-99,---
Georgia,Finland,24-Nov-06,30-Dec-07
Georgia,France,3-Feb-97,13-Apr-00
Georgia,Germany,25-Jun-93,27-Sep-98
Georgia,Greece,9-Nov-94,3-Aug-96
Georgia,"Iran, Islamic Republic of",27-Sep-95,22-Jun-05
Georgia,Israel,19-Jun-95,18-Feb-97
Georgia,Italy,15-May-97,26-Jul-99
Georgia,Kazakhstan,17-Sep-96,24-Aug-98
Georgia,Kuwait,13-Oct-09,---
Georgia,Kyrgyzstan,22-Apr-97,28-Oct-97
Georgia,Latvia,5-Oct-05,5-Mar-06
Georgia,Lithuania,9-Nov-05,1-Nov-06
Georgia,"Moldova, Republic of",28-Nov-97,25-Feb-99
Georgia,Netherlands,3-Feb-98,1-Apr-99
Georgia,Romania,11-Dec-97,12-Jun-98
Georgia,Spain,26-Oct-90,28-Nov-91
Georgia,Sweden,30-Oct-08,1-Apr-09
Georgia,Turkey,30-Jul-92,28-Jul-95
Georgia,Turkmenistan,20-Mar-96,21-Nov-96
Georgia,Ukraine,9-Jan-95,24-Apr-95
Georgia,United Kingdom,15-Feb-95,15-Feb-95
Georgia,United States,7-Mar-94,10-Aug-99
Georgia,Uzbekistan,4-Sep-95,24-May-99
