Reporter,Partner,Date of Signature,Date of entry into force
Ghana,Benin,18-May-01,---
Ghana,Botswana,4-Jul-03,---
Ghana,Bulgaria,20-Oct-89,---
Ghana,Burkina Faso,18-May-01,---
Ghana,China,12-Oct-89,22-Nov-91
Ghana,Côte d' Ivoire,4-Nov-97,---
Ghana,Cuba,2-Nov-99,---
Ghana,Denmark,13-Jan-92,6-Jan-95
Ghana,Egypt,11-Mar-98,---
Ghana,France,26-Mar-99,---
Ghana,Germany,24-Feb-95,23-Nov-98
Ghana,Guinea,18-May-01,---
Ghana,India,18-Aug-02,---
Ghana,Italy,25-Jun-98,---
Ghana,Malaysia,8-Nov-96,18-Apr-97
Ghana,Mauritania,18-May-01,---
Ghana,Mauritius,18-May-01,---
Ghana,Netherlands,31-Mar-89,1-Jul-91
Ghana,Romania,14-Sep-89,---
Ghana,Serbia,25-Apr-00,7-Jul-00
Ghana,South Africa,9-Jul-98,---
Ghana,Spain,6-Oct-06,---
Ghana,Switzerland,8-Oct-91,16-Jun-93
Ghana,United Kingdom,22-Mar-89,25-Oct-91
Ghana,Zambia,18-May-01,---
Ghana,Zimbabwe,30-Jun-03,---
