Reporter,Partner,Date of Signature,Date of entry into force
Guinea,Benin,18-May-01,---
Guinea,Burkina Faso,25-Mar-03,26-Aug-04
Guinea,Cameroon,18-May-01,---
Guinea,Chad,15-Jun-04,---
Guinea,China,18-Nov-05,---
Guinea,Egypt,6-Mar-98,---
Guinea,Gambia,21-Jun-02,---
Guinea,Germany,8-Nov-06,---
Guinea,Ghana,18-May-01,---
Guinea,Italy,20-Feb-64,20-Feb-64
Guinea,Lebanon,15-Jun-04,---
Guinea,Malaysia,7-Nov-96,24-Feb-97
Guinea,Mali,18-May-01,---
Guinea,Mauritania,18-May-01,---
Guinea,Mauritius,18-May-01,---
Guinea,Morocco,2-May-02,---
Guinea,Serbia,22-Oct-96,13-Mar-98
Guinea,Switzerland,26-Apr-62,29-Jul-63
Guinea,Tunisia,18-Nov-90,---
