Reporter,Partner,Date of Signature,Date of entry into force
Hungary,Albania,24-Jan-96,1-Apr-98
Hungary,Argentina,5-Feb-93,1-Oct-97
Hungary,Australia,15-Aug-91,10-May-92
Hungary,Austria,26-May-88,1-Sep-89
Hungary,Azerbaijan,18-May-07,26-Feb-08
Hungary,Belgium and Luxembourg,14-May-86,23-Sep-88
Hungary,Bosnia and Herzegovina,26-Sep-02,31-Aug-05
Hungary,Bulgaria,8-Jun-94,7-Sep-95
Hungary,Canada,3-Oct-91,21-Nov-93
Hungary,Chile,10-Mar-97,---
Hungary,China,29-May-91,1-Apr-93
Hungary,Croatia,15-May-96,1-Mar-02
Hungary,Cuba,22-Oct-99,24-Nov-03
Hungary,Cyprus,24-May-89,25-May-90
Hungary,Czech Republic,14-Jan-93,25-May-95
Hungary,Denmark,2-May-88,18-Oct-88
Hungary,Egypt,23-May-95,21-Aug-97
Hungary,Finland,6-Jun-88,12-May-89
Hungary,France,6-Nov-86,30-Sep-87
Hungary,Germany,30-Apr-86,7-Nov-87
Hungary,Greece,26-May-89,1-Feb-92
Hungary,India,3-Nov-03,2-Jan-06
Hungary,Indonesia,20-May-92,13-Feb-96
Hungary,Jordan,14-Jun-07,9-Mar-08
Hungary,Kazakhstan,7-Dec-94,3-Mar-96
Hungary,"Korea, Republic of",28-Dec-88,1-Feb-89
Hungary,Kuwait,8-Nov-89,1-Mar-94
Hungary,Latvia,10-Jun-99,25-Aug-00
Hungary,Lebanon,22-Jun-01,23-Jul-02
Hungary,Lithuania,25-May-99,20-May-03
Hungary,"Macedonia, TFYR",13-Apr-01,14-Mar-02
Hungary,Malaysia,19-Feb-93,8-Jul-95
Hungary,"Moldova, Republic of",19-Apr-95,16-Aug-96
Hungary,Mongolia,13-Sep-94,6-Mar-96
Hungary,Morocco,12-Dec-91,3-Feb-00
Hungary,Netherlands,2-Sep-87,1-Jun-88
Hungary,Norway,8-Apr-91,4-Dec-92
Hungary,Paraguay,11-Aug-93,1-Apr-95
Hungary,Poland,23-Sep-92,16-Jun-95
Hungary,Portugal,28-Feb-92,8-Oct-97
Hungary,Romania,16-Sep-93,6-May-96
Hungary,Russian Federation,6-Mar-95,29-May-96
Hungary,Serbia,20-Jun-01,30-Mar-05
Hungary,Singapore,17-Apr-97,1-Jan-99
Hungary,Slovakia,15-Jan-93,19-Jul-96
Hungary,Slovenia,15-Oct-96,9-Jun-00
Hungary,Spain,9-Nov-89,1-Aug-92
Hungary,Sweden,21-Apr-87,21-Apr-87
Hungary,Switzerland,5-Oct-88,16-May-89
Hungary,Thailand,18-Oct-91,18-Oct-91
Hungary,Tunisia,13-May-03,---
Hungary,Turkey,14-Jan-92,1-Nov-94
Hungary,Ukraine,11-Oct-94,3-Dec-96
Hungary,United Kingdom,9-Mar-87,28-Aug-87
Hungary,Uruguay,25-Aug-89,1-Jul-92
Hungary,Uzbekistan,28-Oct-02,3-Mar-03
Hungary,VietNam,26-Aug-94,16-Jun-95
Hungary,Yemen,18-Jan-04,9-Apr-06
