Reporter,Partner,Date of Signature,Date of entry into force
Indonesia,Algeria,21-Mar-00,---
Indonesia,Argentina,7-Nov-95,1-Mar-01
Indonesia,Australia,17-Nov-92,29-Jul-93
Indonesia,Bangladesh,9-Feb-98,22-Apr-99
Indonesia,Belgium and Luxembourg,15-Jan-70,17-Jun-72
Indonesia,Bulgaria,13-Sep-03,23-Jan-05
Indonesia,Cambodia,16-Mar-99,---
Indonesia,Chile,7-Apr-99,---
Indonesia,China,18-Nov-94,1-Apr-95
Indonesia,Croatia,20-Sep-02,---
Indonesia,Cuba,19-Sep-97,29-Sep-99
Indonesia,Czech Republic,17-Sep-98,21-Jun-99
Indonesia,Denmark,22-Jan-07,---
Indonesia,Egypt,19-Jan-94,29-Nov-94
Indonesia,Finland,12-Sep-06,2-Aug-08
Indonesia,France,14-Jun-73,29-Apr-75
Indonesia,Germany,14-May-03,2-Jun-07
Indonesia,Guyana,30-Jan-08,---
Indonesia,Hungary,20-May-92,13-Feb-96
Indonesia,India,10-Feb-99,22-Jan-04
Indonesia,"Iran, Islamic Republic",22-Jun-05,28-Mar-09
Indonesia,Italy,25-Apr-91,25-Jun-95
Indonesia,Jamaica,10-Feb-99,---
Indonesia,Jordan,12-Nov-96,9-Feb-99
Indonesia,"Korea, DPR",21-Feb-00,---
Indonesia,"Korea, Republic of",16-Feb-91,10-Mar-94
Indonesia,Kyrgyzstan,19-Jul-95,23-Apr-97
Indonesia,Lao PDR,18-Oct-94,14-Oct-95
Indonesia,Malaysia,22-Jan-94,27-Oct-99
Indonesia,Mauritius,5-Mar-97,28-Mar-00
Indonesia,Mongolia,4-Mar-97,13-Apr-99
Indonesia,Morocco,14-Mar-97,21-Mar-02
Indonesia,Mozambique,26-Mar-99,25-Jul-00
Indonesia,Netherlands,6-Apr-94,1-Jul-95
Indonesia,Pakistan,8-Mar-96,3-Dec-96
Indonesia,Philippines,12-Nov-01,---
Indonesia,Poland,6-Oct-92,1-Jul-93
Indonesia,Qatar,18-Apr-00,---
Indonesia,Romania,27-Jun-97,21-Aug-99
Indonesia,Russian Federation,6-Sep-07,---
Indonesia,Saudi Arabia,15-Sep-03,5-Jul-04
Indonesia,Serbia,6-Sep-11,---
Indonesia,Singapore,16-Feb-05,21-Jun-06
Indonesia,Slovakia,12-Jul-94,1-Mar-95
Indonesia,Spain,30-May-95,18-Dec-96
Indonesia,Sri Lanka,10-Jun-96,21-Jul-97
Indonesia,Sudan,10-Feb-98,---
Indonesia,Suriname,28-Oct-95,---
Indonesia,Sweden,17-Sep-92,18-Feb-93
Indonesia,Switzerland,6-Jun-74,9-Apr-76
Indonesia,Syrian Arab Republic,27-Jun-97,20-Feb-00
Indonesia,Tajikistan,28-Oct-03,---
Indonesia,Thailand,17-Feb-98,5-Nov-98
Indonesia,Tunisia,13-May-92,12-Sep-92
Indonesia,Turkey,25-Feb-97,28-Sep-98
Indonesia,Turkmenistan,2-Jun-94,---
Indonesia,Ukraine,11-Apr-96,22-Jun-97
Indonesia,United Kingdom,27-Apr-76,24-Mar-77
Indonesia,Uzbekistan,27-Aug-96,27-Apr-97
Indonesia,Venezuela,18-Dec-00,23-Mar-03
Indonesia,VietNam,25-Oct-91,3-Apr-94
Indonesia,Yemen,20-Feb-98,---
Indonesia,Zimbabwe,10-Feb-99,---
