Reporter,Partner,Date of Signature,Date of entry into force
Israel,Albania,29-Jan-96,18-Feb-97
Israel,Argentina,23-Jul-95,10-Apr-97
Israel,Armenia,19-Jan-00,---
Israel,Azerbaijan,20-Feb-07,16-Jan-09
Israel,Belarus,11-Apr-00,14-Aug-03
Israel,Bulgaria,6-Dec-93,17-Dec-96
Israel,China,10-Apr-95,13-Jan-09
Israel,"Congo, DR",14-May-85,---
Israel,Croatia,30-Mar-11,---
Israel,Cyprus,13-Oct-98,---
Israel,Czech Republic,23-Sep-97,16-Mar-99
Israel,El Salvador,3-Apr-00,7-Jul-03
Israel,Estonia,14-Mar-94,23-May-95
Israel,Ethiopia,26-Nov-03,22-Mar-04
Israel,France,9-Jun-83,11-Jan-85
Israel,Georgia,19-Jun-95,18-Feb-97
Israel,Germany,24-Jun-76,---
Israel,Guatemala,7-Nov-06,15-Jan-09
Israel,India,29-Jan-96,18-Feb-97
Israel,Kazakhstan,27-Dec-95,19-Feb-97
Israel,"Korea, Republic of",7-Feb-99,19-Jun-03
Israel,Latvia,27-Feb-94,9-May-95
Israel,Lithuania,2-Oct-94,11-Jul-96
Israel,"Moldova, Republic of",22-Jun-97,16-Mar-99
Israel,Mongolia,25-Nov-03,2-Sep-04
Israel,Poland,22-May-91,6-May-92
Israel,Romania,12-Aug-10,---
Israel,Serbia,28-Jul-04,31-Dec-04
Israel,Slovakia,8-Sep-99,24-Jun-03
Israel,Slovenia,13-May-98,2-Oct-99
Israel,South Africa,20-Oct-04,---
Israel,Thailand,18-Feb-00,28-Aug-03
Israel,Turkey,14-Mar-96,27-Aug-98
Israel,Turkmenistan,24-May-95,18-Feb-97
Israel,Ukraine,16-Jun-94,18-Feb-97
Israel,Uruguay,30-Mar-98,7-Oct-04
Israel,Uzbekistan,4-Jul-94,18-Feb-97
