Reporter,Partner,Date of Signature,Date of entry into force
Jamaica,Argentina,8-Feb-94,1-Dec-95
Jamaica,China,26-Oct-94,1-Apr-96
Jamaica,Cuba,31-May-97,---
Jamaica,Egypt,10-Feb-99,---
Jamaica,France,25-Jan-93,15-Sep-94
Jamaica,Germany,24-Sep-92,29-May-96
Jamaica,Indonesia,10-Feb-99,---
Jamaica,Italy,29-Sep-93,9-Nov-95
Jamaica,"Korea, Republic of",10-Jun-03,---
Jamaica,Kuwait,1-Apr-13,---
Jamaica,Netherlands,18-Apr-91,1-Aug-92
Jamaica,Nigeria,5-Aug-02,---
Jamaica,Spain,13-Mar-02,25-Nov-02
Jamaica,Switzerland,11-Dec-90,21-Nov-91
Jamaica,United Kingdom,20-Jan-87,14-May-87
Jamaica,United States,4-Feb-94,7-Mar-97
Jamaica,Zimbabwe,10-Feb-99,---
