Reporter,Partner,Date of Signature,Date of entry into force
Japan,Bangladesh,10-Nov-98,25-Aug-99
Japan,Cambodia,14-Jun-07,31-Jul-08
Japan,China,27-Aug-88,14-May-89
Japan,Colombia,12-Sep-11,---
Japan,Egypt,28-Jan-77,14-Jan-78
Japan,"Hong Kong, China",15-May-97,18-Jun-97
Japan,Iraq,7-Jun-12,---
Japan,"Korea, Republic of",22-Mar-02,1-Jan-03
Japan,Kuwait,22-Mar-12,---
Japan,Lao PDR,16-Jan-08,3-Aug-08
Japan,Mongolia,15-Feb-01,24-Mar-02
Japan,Pakistan,10-Mar-98,29-May-02
Japan,Papua New Guinea,26-Apr-11,---
Japan,Peru,22-Nov-08,10-Dec-09
Japan,Russian Federation,13-Nov-98,27-May-00
Japan,Saudi Arabia,30-Apr-13,---
Japan,Sri Lanka,1-Mar-82,7-Aug-82
Japan,Turkey,12-Feb-92,12-Mar-93
Japan,Uzbekistan,15-Aug-08,24-Sep-09
Japan,VietNam,14-Nov-03,19-Dec-04
