Reporter,Partner,Date of Signature,Date of entry into force
Kazakhstan,Austria,12-Jan-10,---
Kazakhstan,Azerbaijan,16-Sep-96,---
Kazakhstan,Belgium and Luxembourg,16-Apr-98,6-Feb-01
Kazakhstan,Bulgaria,15-Sep-99,20-Aug-01
Kazakhstan,China,10-Aug-92,13-Aug-94
Kazakhstan,Czech Republic,25-Nov-10,---
Kazakhstan,Egypt,14-Feb-93,8-Aug-96
Kazakhstan,Finland,9-Jan-07,---
Kazakhstan,France,3-Feb-98,21-Aug-00
Kazakhstan,Georgia,17-Sep-96,24-Aug-98
Kazakhstan,Germany,22-Sep-92,10-May-95
Kazakhstan,Greece,26-Jun-02,---
Kazakhstan,Hungary,7-Dec-94,3-Mar-96
Kazakhstan,India,9-Dec-96,26-Jul-01
Kazakhstan,"Iran, Islamic Republic of",16-Jan-96,3-Apr-99
Kazakhstan,Israel,27-Dec-95,19-Feb-97
Kazakhstan,Italy,22-Sep-94,12-Jul-96
Kazakhstan,Jordan,30-Nov-06,---
Kazakhstan,"Korea, Republic of",20-Mar-96,26-Dec-96
Kazakhstan,Kuwait,31-Aug-97,---
Kazakhstan,Kyrgyzstan,8-Apr-99,---
Kazakhstan,Latvia,8-Oct-04,21-Apr-06
Kazakhstan,Lithuania,15-Sep-94,25-May-95
Kazakhstan,Malaysia,27-May-96,---
Kazakhstan,Mongolia,2-Dec-94,3-Mar-95
Kazakhstan,Netherlands,27-Nov-02,1-Aug-07
Kazakhstan,Pakistan,8-Dec-03,---
Kazakhstan,Poland,21-Sep-94,25-May-95
Kazakhstan,Qatar,4-Mar-08,---
Kazakhstan,Romania,2-Mar-10,---
Kazakhstan,Russian Federation,6-Jul-98,11-Feb-00
Kazakhstan,Serbia,7-Oct-10,---
Kazakhstan,Slovakia,21-Nov-07,---
Kazakhstan,Spain,23-Mar-94,22-Jun-95
Kazakhstan,Sweden,25-Oct-04,1-Aug-06
Kazakhstan,Switzerland,12-May-94,13-May-98
Kazakhstan,Turkey,1-May-92,10-Aug-95
Kazakhstan,Ukraine,17-Sep-94,9-Jan-97
Kazakhstan,United Kingdom,23-Nov-95,23-Nov-95
Kazakhstan,United States,19-May-92,12-Jan-94
Kazakhstan,Uzbekistan,2-Jun-97,8-Sep-97
Kazakhstan,VietNam,15-Sep-09,---
