Reporter,Partner,Date of Signature,Date of entry into force
"Lao, PDR",ple’s Democratic Republic  Australia,6-Apr-94,8-Apr-95
"Lao, PDR",Cambodia,24-Nov-08,---
"Lao, PDR",China,31-Jan-93,1-Jun-93
"Lao, PDR",Cuba,28-Apr-97,10-Jun-98
"Lao, PDR",Denmark,9-Sep-98,9-May-99
"Lao, PDR",France,12-Dec-89,8-Mar-91
"Lao, PDR",Germany,9-Aug-96,24-Mar-99
"Lao, PDR",India,9-Nov-00,5-Jan-03
"Lao, PDR",Indonesia,18-Oct-94,14-Oct-95
"Lao, PDR",Japan,16-Jan-08,3-Aug-08
"Lao, PDR","Korea, Republic of",15-May-96,14-Jun-96
"Lao, PDR",Malaysia,8-Dec-92,---
"Lao, PDR",Mongolia,3-Mar-94,29-Dec-94
"Lao, PDR",Myanmar,5-May-03,---
"Lao, PDR",Netherlands,16-May-03,1-May-05
"Lao, PDR",Pakistan,8-Dec-04,---
"Lao, PDR",Russian Federation,6-Dec-96,9-Feb-06
"Lao, PDR",Singapore,24-Mar-97,26-Mar-98
"Lao, PDR",Sweden,29-Aug-96,1-Jan-97
"Lao, PDR",Switzerland,4-Dec-96,4-Dec-96
"Lao, PDR",Thailand,22-Aug-90,7-Dec-90
"Lao, PDR",United Kingdom,1-Jun-95,1-Jun-95
"Lao, PDR",VietNam,14-Jan-96,23-Jun-96
