Reporter,Partner,Date of Signature,Date of entry into force
"Macedonia, TFYR",Albania,4-Dec-97,3-Apr-98
"Macedonia, TFYR",Austria,28-Mar-01,14-Apr-02
"Macedonia, TFYR",Belarus,20-Jun-01,---
"Macedonia, TFYR",Belgium and Luxembourg,17-Feb-99,4-Nov-02
"Macedonia, TFYR",Bosnia and Herzegovina,16-Feb-01,25-Apr-04
"Macedonia, TFYR",Bulgaria,22-Feb-99,5-Jun-99
"Macedonia, TFYR",China,9-Jun-97,1-Nov-97
"Macedonia, TFYR",Croatia,15-May-96,1-Mar-02
"Macedonia, TFYR",Czech Republic,5-May-09,29-Oct-10
"Macedonia, TFYR",Egypt,22-Nov-99,---
"Macedonia, TFYR",Finland,25-Jan-01,22-Mar-02
"Macedonia, TFYR",France,28-Jan-98,31-Mar-00
"Macedonia, TFYR",Germany,10-Sep-96,17-Sep-00
"Macedonia, TFYR",Hungary,13-Apr-01,14-Mar-02
"Macedonia, TFYR",India,17-Mar-08,17-Nov-08
"Macedonia, TFYR","Iran, Islamic Republic of",12-Jul-00,19-Aug-05
"Macedonia, TFYR",Italy,26-Feb-97,28-May-99
"Macedonia, TFYR","Korea, DPR",15-Dec-97,30-Apr-98
"Macedonia, TFYR",Kuwait,8-Apr-08,2-Nov-11
"Macedonia, TFYR",Lithuania,8-Mar-11,13-Jan-12
"Macedonia, TFYR",Malaysia,11-Nov-97,17-Mar-99
"Macedonia, TFYR",Montenegro,15-Dec-10,30-Nov-11
"Macedonia, TFYR",Morocco,11-May-10,15-Oct-12
"Macedonia, TFYR",Netherlands,7-Jul-98,1-Jun-99
"Macedonia, TFYR",Poland,28-Nov-96,22-Apr-97
"Macedonia, TFYR",Qatar,20-May-11,13-Feb-12
"Macedonia, TFYR",Romania,12-Jun-00,13-Feb-02
"Macedonia, TFYR",Russian Federation,21-Oct-97,9-Jul-98
"Macedonia, TFYR",Serbia,4-Sep-96,11-Oct-96
"Macedonia, TFYR",Slovakia,25-Jun-09,25-Aug-11
"Macedonia, TFYR",Slovenia,5-Jun-96,21-Sep-99
"Macedonia, TFYR",Spain,20-Jun-05,30-Jan-07
"Macedonia, TFYR",Sweden,7-May-98,1-Oct-98
"Macedonia, TFYR",Switzerland,26-Sep-96,6-May-97
"Macedonia, TFYR",Taiwan Province of China,9-Jun-99,9-Jun-99
"Macedonia, TFYR",Turkey,14-Jul-95,27-Oct-97
"Macedonia, TFYR",Ukraine,2-Mar-98,25-Mar-00
