Reporter,Partner,Date of Signature,Date of entry into force
Malaysia,Albania,24-Jan-94,29-Mar-94
Malaysia,Algeria,27-Jan-00,---
Malaysia,Argentina,6-Sep-94,20-Mar-96
Malaysia,Austria,12-Apr-85,1-Jan-87
Malaysia,Bahrain,15-Jun-99,---
Malaysia,Bangladesh,12-Oct-94,20-Aug-96
Malaysia,Belgium and Luxembourg,22-Nov-79,8-Feb-82
Malaysia,Bosnia and Herzegovina,16-Dec-94,27-May-95
Malaysia,Botswana,31-Jul-97,---
Malaysia,Burkina Faso,23-Apr-98,18-Aug-03
Malaysia,Cambodia,17-Aug-94,---
Malaysia,Chile,11-Nov-92,4-Aug-95
Malaysia,China,21-Nov-88,31-Mar-90
Malaysia,Croatia,16-Dec-94,19-Jul-96
Malaysia,Cuba,26-Sep-97,27-Oct-99
Malaysia,Czech Republic,9-Sep-96,3-Dec-98
Malaysia,Denmark,6-Jan-92,18-Sep-92
Malaysia,Djibouti,3-Aug-98,---
Malaysia,Egypt,14-Apr-97,3-Feb-00
Malaysia,Ethiopia,22-Oct-98,4-Jun-99
Malaysia,Finland,15-Apr-85,3-Jan-88
Malaysia,France,24-Apr-75,1-Aug-76
Malaysia,Germany,22-Dec-60,6-Jul-63
Malaysia,Ghana,8-Nov-96,18-Apr-97
Malaysia,Guinea,7-Nov-96,24-Feb-97
Malaysia,Hungary,19-Feb-93,8-Jul-95
Malaysia,India,1-Aug-95,12-Apr-97
Malaysia,Indonesia,22-Jan-94,15-Jun-94
Malaysia,"Iran, Islamic Republic of",22-Jul-02,5-Aug-06
Malaysia,Italy,4-Jan-88,25-Oct-90
Malaysia,Jordan,2-Oct-94,3-Mar-95
Malaysia,Kazakhstan,27-May-96,---
Malaysia,"Korea, DPR",4-Feb-98,17-Oct-98
Malaysia,"Korea, Republic of",11-Apr-88,31-Mar-89
Malaysia,Kuwait,21-Nov-87,---
Malaysia,Kyrgyzstan,20-Jul-95,---
Malaysia,Lao PDR,8-Dec-92,---
Malaysia,Lebanon,26-Feb-98,20-Jan-02
Malaysia,"Macedonia, TFYR",11-Nov-97,17-Mar-99
Malaysia,Malawi,5-Sep-96,---
Malaysia,Mongolia,27-Jul-95,14-Jan-96
Malaysia,Morocco,16-Apr-02,23-Apr-09
Malaysia,Namibia,12-Aug-94,---
Malaysia,Netherlands,15-Jun-71,13-Sep-72
Malaysia,Pakistan,17-Jul-95,30-Nov-95
Malaysia,Papua New Guinea,27-Oct-92,---
Malaysia,Peru,13-Oct-95,25-Dec-95
Malaysia,Poland,21-Apr-93,23-Mar-94
Malaysia,Romania,25-Jun-96,8-May-97
Malaysia,Saudi Arabia,25-Oct-00,14-Aug-01
Malaysia,Senegal,11-Feb-99,---
Malaysia,Spain,4-Apr-95,16-Feb-96
Malaysia,Sri Lanka,16-Apr-82,31-Oct-95
Malaysia,Sudan,2-Aug-98,---
Malaysia,Sweden,3-Mar-79,6-Jul-79
Malaysia,Switzerland,1-Mar-78,9-Jun-78
Malaysia,Syrian Arab Republic,7-Jan-09,3-May-09
Malaysia,Taiwan Province of China,18-Feb-93,18-Mar-93
Malaysia,Turkey,25-Feb-98,9-Sep-00
Malaysia,Turkmenistan,30-May-94,---
Malaysia,United Arab Emirates,11-Oct-91,22-May-92
Malaysia,United Kingdom,21-May-81,21-Oct-88
Malaysia,Uruguay,9-Aug-95,13-Apr-02
Malaysia,Uzbekistan,6-Sep-97,20-Jan-00
Malaysia,VietNam,21-Jan-92,9-Oct-92
Malaysia,Yemen,11-Feb-98,---
Malaysia,Zimbabwe,28-Apr-94,---
