Reporter,Partner,Date of Signature,Date of entry into force
Malta,Albania,27-Jan-11,---
Malta,Austria,29-May-02,1-Mar-04
Malta,Belgium and Luxembourg,5-Mar-87,15-Jun-93
Malta,Bulgaria,12-Jun-84,7-Feb-85
Malta,China,22-Feb-09,1-Apr-09
Malta,Croatia,11-Jul-01,10-May-02
Malta,Cyprus,9-Sep-02,30-Nov-03
Malta,Egypt,20-Feb-99,17-Jul-00
Malta,France,11-Aug-76,1-Jan-78
Malta,Germany,17-Sep-74,14-Dec-75
Malta,Italy,20-Dec-02,7-Feb-03
Malta,Kuwait,19-Apr-95,25-Jun-96
Malta,Libyan Arab Jamahiriya,24-Oct-03,---
Malta,Montenegro,6-Apr-10,23-Sep-10
Malta,Netherlands,10-Sep-84,1-Jul-85
Malta,Serbia,2-Jul-10,---
Malta,Slovakia,7-Sep-99,29-May-00
Malta,Slovenia,15-Mar-01,6-Nov-01
Malta,Sweden,24-Aug-99,1-Jan-00
Malta,Tunisia,26-Oct-00,12-May-02
Malta,Turkey,10-Oct-03,6-Apr-04
Malta,United Kingdom,4-Oct-86,4-Oct-86
