Reporter,Partner,Date of Signature,Date of entry into force
Mauritania,Algeria,6-Jan-08,---
Mauritania,Belgium and Luxembourg,23-Nov-83,---
Mauritania,Burkina Faso,18-May-01,---
Mauritania,Cameroon,18-May-01,---
Mauritania,Gambia,9-May-01,---
Mauritania,Germany,8-Dec-82,26-Apr-86
Mauritania,Ghana,18-May-01,---
Mauritania,Guinea,18-May-01,---
Mauritania,Italy,5-Apr-03,---
Mauritania,"Korea, Republic of",15-Dec-04,21-Jul-06
Mauritania,Kuwait,1-Aug-06,---
Mauritania,Lebanon,15-Jun-04,30-Apr-06
Mauritania,Mauritius,18-May-01,---
Mauritania,Morocco,13-Jun-00,20-Oct-03
Mauritania,Qatar,25-Dec-03,---
Mauritania,Romania,14-Mar-88,19-Dec-89
Mauritania,Spain,24-Jul-08,---
Mauritania,Switzerland,9-Sep-76,30-May-78
Mauritania,Tunisia,11-Mar-86,---
