Reporter,Partner,Date of Signature,Date of entry into force
Mauritius,Barbados,28-Sep-04,28-Jun-05
Mauritius,Belgium and Luxembourg,30-Nov-05,16-Dec-09
Mauritius,Benin,18-May-01,---
Mauritius,Botswana,17-Aug-05,---
Mauritius,Burundi,18-May-01,22-Nov-09
Mauritius,Cameroon,3-Aug-01,---
Mauritius,Chad,18-May-01,---
Mauritius,China,4-May-96,8-Jun-97
Mauritius,Comoros,18-May-01,---
Mauritius,Congo,20-Dec-10,---
Mauritius,Czech Republic,5-Apr-99,27-Apr-00
Mauritius,Finland,12-Sep-07,17-Oct-08
Mauritius,France,8-Mar-10,---
Mauritius,Germany,25-May-71,27-Aug-73
Mauritius,Ghana,18-May-01,---
Mauritius,Guinea,18-May-01,---
Mauritius,India,4-Sep-98,20-Jun-00
Mauritius,Indonesia,5-Mar-97,28-Mar-00
Mauritius,"Korea, Republic of",18-Jun-07,9-May-08
Mauritius,Madagascar,6-Apr-04,1-Jun-05
Mauritius,Mauritania,18-May-01,---
Mauritius,Mozambique,14-Feb-97,26-May-03
Mauritius,Nepal,3-Aug-99,---
Mauritius,Pakistan,3-Apr-97,3-Apr-97
Mauritius,Portugal,12-Dec-97,3-Jan-99
Mauritius,Romania,20-Jan-00,20-Dec-00
Mauritius,Rwanda,30-Jul-01,---
Mauritius,Senegal,14-Mar-02,14-Oct-09
Mauritius,Singapore,4-Mar-00,19-Apr-00
Mauritius,South Africa,17-Feb-98,7-Oct-98
Mauritius,Swaziland,15-May-00,---
Mauritius,Sweden,23-Feb-04,1-Jun-05
Mauritius,Switzerland,26-Nov-98,21-Apr-00
Mauritius,"Tanzania, United Republic",4-May-09,---
Mauritius,Turkey,7-Feb-13,---
Mauritius,United Kingdom,20-May-86,13-Oct-86
Mauritius,Zimbabwe,17-May-00,---
