Reporter,Partner,Date of Signature,Date of entry into force
Morocco,Argentina,13-Jun-96,19-Feb-00
Morocco,Austria,2-Nov-92,1-Jul-95
Morocco,Bahrain,7-Apr-00,9-Apr-01
Morocco,Belgium and Luxembourg,13-Apr-99,29-May-02
Morocco,Benin,15-Jun-04,---
Morocco,Bulgaria,28-Sep-10,20-Sep-12
Morocco,Burkina Faso,8-Feb-07,---
Morocco,Cameroon,24-Jan-07,---
Morocco,Central African Republic,26-Sep-06,---
Morocco,Chad,4-Dec-97,---
Morocco,China,27-Mar-95,27-Nov-99
Morocco,Croatia,29-Sep-04,---
Morocco,Czech Republic,19-Mar-10,18-Dec-12
Morocco,Denmark,22-May-03,---
Morocco,Dominican Republic,23-May-02,4-Jan-07
Morocco,Egypt,14-May-97,1-Jul-98
Morocco,El Salvador,21-Apr-99,11-Apr-02
Morocco,Equatorial Guinea,5-Jul-05,---
Morocco,Estonia,25-Sep-09,4-Nov-12
Morocco,Finland,1-Oct-01,6-Apr-03
Morocco,France,13-Jan-96,30-May-99
Morocco,Gabon,21-Jun-04,24-Jul-09
Morocco,Gambia,20-Feb-06,---
Morocco,Germany,6-Aug-01,12-Apr-08
Morocco,Greece,16-Feb-94,28-Jun-00
Morocco,Guinea,2-May-02,---
Morocco,Hungary,12-Dec-91,3-Feb-00
Morocco,India,13-Feb-99,22-Feb-01
Morocco,Indonesia,14-Mar-97,21-Mar-02
Morocco,"Iran, Islamic Republic of",21-Jan-01,31-Mar-03
Morocco,Iraq,18-Jul-90,---
Morocco,Italy,18-Jul-90,26-Apr-00
Morocco,Jordan,16-Jun-98,7-Feb-00
Morocco,"Korea, Republic of",27-Jan-99,8-May-01
Morocco,Kuwait,16-Feb-99,7-May-01
Morocco,Lebanon,3-Jul-97,4-Mar-00
Morocco,Libyan Arab Jamahiriya,2-Nov-00,20-Oct-01
Morocco,"Macedonia, TFYR",11-May-10,15-Oct-12
Morocco,Malaysia,16-Apr-02,23-Apr-09
Morocco,Mauritania,13-Jun-00,20-Oct-03
Morocco,Netherlands,23-Dec-71,27-Jul-78
Morocco,Oman,8-May-01,30-Mar-03
Morocco,Pakistan,16-Apr-01,---
Morocco,Poland,24-Oct-94,9-Jul-99
Morocco,Portugal,17-Apr-07,---
Morocco,Qatar,20-Feb-99,21-May-01
Morocco,Romania,26-Jan-08,15-Oct-12
Morocco,Senegal,15-Nov-06,---
Morocco,Slovakia,14-Jun-07,---
Morocco,Spain,11-Dec-97,13-Apr-05
Morocco,Sudan,23-Feb-99,4-Jul-02
Morocco,Sweden,26-Sep-90,16-Jun-08
Morocco,Switzerland,17-Dec-85,12-Apr-91
Morocco,Syrian Arab Republic,23-Oct-01,29-Mar-03
Morocco,Tunisia,28-Jan-94,1-Apr-99
Morocco,Turkey,8-Apr-97,30-May-04
Morocco,Ukraine,24-Dec-01,25-Apr-09
Morocco,United Arab Emirates,9-Feb-99,1-Apr-02
Morocco,United Kingdom,30-Oct-90,14-Feb-02
Morocco,United States,22-Jul-85,29-May-91
Morocco,VietNam,15-Jun-12,---
Morocco,Yemen,24-Feb-01,---
