Reporter,Partner,Date of Signature,Date of entry into force
Namibia,Austria,27-May-03,1-Sep-08
Namibia,China,17-Nov-05,---
Namibia,Cuba,27-Jun-97,---
Namibia,Finland,31-Oct-02,21-May-05
Namibia,France,25-Jun-98,26-Feb-06
Namibia,Germany,21-Jan-94,21-Dec-97
Namibia,Italy,7-Sep-04,---
Namibia,Malaysia,12-Aug-94,---
Namibia,Netherlands,26-Nov-02,1-Oct-04
Namibia,Russian Federation,25-Jun-09,---
Namibia,Spain,21-Feb-03,28-Jun-04
Namibia,Switzerland,1-Aug-94,26-Apr-00
Namibia,VietNam,30-May-03,---
