Reporter,Partner,Date of Signature,Date of entry into force
Nigeria,Algeria,14-Jan-02,---
Nigeria,Bulgaria,21-Dec-98,---
Nigeria,China,27-Aug-01,---
Nigeria,Egypt,20-Jun-00,---
Nigeria,Ethiopia,19-Jan-04,---
Nigeria,Finland,22-Jun-05,20-Mar-07
Nigeria,France,27-Feb-90,19-Aug-91
Nigeria,Germany,28-Mar-00,20-Sep-07
Nigeria,Italy,27-Sep-90,22-Aug-05
Nigeria,Jamaica,5-Aug-02,---
Nigeria,"Korea, Republic of",27-Mar-98,1-Feb-99
Nigeria,Netherlands,2-Nov-92,1-Feb-94
Nigeria,Romania,18-Dec-98,3-Jun-05
Nigeria,Russian Federation,24-Jun-09,---
Nigeria,Serbia,1-Jun-02,7-Feb-03
Nigeria,Spain,9-Jul-02,19-Jan-06
Nigeria,Sweden,18-Apr-02,1-Dec-06
Nigeria,Switzerland,30-Nov-01,1-Apr-03
Nigeria,Taiwan Province of China,7-Apr-94,7-Apr-94
Nigeria,Turkey,2-Feb-11,---
Nigeria,Uganda,15-Jan-03,---
Nigeria,United Kingdom,11-Dec-90,11-Dec-90
