Reporter,Partner,Date of Signature,Date of entry into force
Norway,Azerbaijan,25-Sep-96,---
Norway,Chile,1-Jun-93,7-Sep-94
Norway,China,21-Nov-84,10-Jul-85
Norway,Czech Republic,21-May-91,6-Aug-92
Norway,Estonia,15-Jun-92,15-Jun-92
Norway,Hungary,8-Apr-91,4-Dec-92
Norway,Latvia,16-Jun-92,1-Dec-92
Norway,Lithuania,16-Jun-92,20-Dec-92
Norway,Madagascar,13-May-66,28-Sep-67
Norway,Peru,10-Mar-95,9-May-95
Norway,Poland,5-Jun-90,24-Oct-90
Norway,Romania,11-Jun-91,23-Mar-92
Norway,Russian Federation,4-Oct-95,21-May-98
Norway,Slovakia,21-May-91,6-Aug-92
Norway,Sri Lanka,13-Jun-85,13-Jun-85
