Reporter,Partner,Date of Signature,Date of entry into force
Oman,Algeria,9-Apr-00,22-Jun-02
Oman,Austria,1-Apr-01,1-Feb-03
Oman,Belarus,10-May-04,18-Jan-05
Oman,Belgium and Luxembourg,16-Dec-08,---
Oman,Brunei Darussalam,8-Jun-98,---
Oman,Bulgaria,2-Feb-07,---
Oman,China,18-Mar-95,1-Aug-95
Oman,Croatia,4-May-04,---
Oman,Egypt,25-Mar-98,3-May-00
Oman,Finland,27-Sep-97,20-Feb-99
Oman,France,17-Oct-94,4-Jul-96
Oman,Germany,30-May-07,4-Apr-10
Oman,India,2-Apr-97,13-Oct-00
Oman,"Iran, Islamic Republic of",2-Dec-01,8-Apr-03
Oman,Italy,23-Jun-93,23-Jan-97
Oman,Jordan,9-Apr-07,---
Oman,"Korea, Republic of",8-Oct-03,10-Feb-04
Oman,Lebanon,11-Apr-06,20-Oct-08
Oman,Morocco,8-May-01,30-Mar-03
Oman,Netherlands,17-Jan-09,---
Oman,Pakistan,9-Nov-97,14-May-98
Oman,Singapore,10-Dec-07,12-Oct-08
Oman,Sudan,25-Oct-99,28-May-02
Oman,Sweden,13-Jul-95,6-Jun-96
Oman,Switzerland,17-Aug-04,18-Jan-05
Oman,Syrian Arab Republic,14-Sep-05,---
Oman,"Tanzania, United Republic",16-Oct-12,---
Oman,Tunisia,19-Oct-91,1-Mar-92
Oman,Turkey,4-Feb-07,15-Mar-10
Oman,Ukraine,1-Jan-02,---
Oman,United Kingdom,25-Nov-95,21-May-96
Oman,Uzbekistan,30-Mar-09,20-Aug-09
Oman,VietNam,10-Jan-11,---
Oman,Yemen,20-Sep-98,1-Apr-00
