Reporter,Partner,Date of Signature,Date of entry into force
Pakistan,Australia,7-Feb-98,14-Oct-98
Pakistan,Azerbaijan,9-Oct-95,---
Pakistan,Bangladesh,24-Oct-95,---
Pakistan,Belarus,22-Jan-97,---
Pakistan,Belgium and Luxembourg,23-Apr-98,---
Pakistan,Bosnia and Herzegovina,4-Sep-01,14-May-10
Pakistan,Bulgaria,12-Feb-02,---
Pakistan,Cambodia,27-Apr-04,---
Pakistan,China,12-Feb-89,30-Sep-90
Pakistan,Denmark,18-Jul-96,25-Sep-96
Pakistan,Egypt,16-Apr-00,---
Pakistan,France,1-Jun-83,14-Dec-84
Pakistan,Germany,1-Dec-09,---
Pakistan,Indonesia,8-Mar-96,3-Dec-96
Pakistan,"Iran, Islamic Republic of",8-Nov-95,27-Jun-98
Pakistan,Italy,19-Jul-97,22-Jun-01
Pakistan,Japan,10-Mar-98,29-May-02
Pakistan,Kazakhstan,8-Dec-03,---
Pakistan,"Korea, Republic of",25-May-88,15-Apr-90
Pakistan,Kuwait,15-Feb-11,---
Pakistan,Kyrgyzstan,26-Aug-95,---
Pakistan,Lao PDR,8-Dec-04,---
Pakistan,Lebanon,9-Jan-01,28-Mar-03
Pakistan,Malaysia,17-Jul-95,30-Nov-95
Pakistan,Mauritius,3-Apr-97,3-Apr-97
Pakistan,Morocco,16-Apr-01,---
Pakistan,Netherlands,4-Oct-88,1-Oct-89
Pakistan,Oman,9-Nov-97,14-May-98
Pakistan,Philippines,23-Apr-99,---
Pakistan,Portugal,11-Oct-96,14-Dec-96
Pakistan,Qatar,6-Apr-99,---
Pakistan,Romania,10-Jul-95,8-Aug-96
Pakistan,Singapore,8-Mar-95,4-May-95
Pakistan,Spain,15-Sep-94,26-Apr-96
Pakistan,Sri Lanka,20-Dec-97,5-Jan-00
Pakistan,Sweden,12-Mar-81,14-Jun-81
Pakistan,Switzerland,11-Jul-95,6-May-96
Pakistan,Syrian Arab Republic,25-Apr-96,4-Nov-97
Pakistan,Tajikistan,13-May-04,---
Pakistan,Tunisia,18-Apr-96,---
Pakistan,Turkey,22-May-12,---
Pakistan,Turkmenistan,26-Oct-94,---
Pakistan,United Arab Emirates,5-Nov-95,---
Pakistan,United Kingdom,30-Nov-94,30-Nov-94
Pakistan,Uzbekistan,13-Aug-92,15-Feb-06
Pakistan,Yemen,11-May-99,---
