Reporter,Partner,Date of Signature,Date of entry into force
Panama,Argentina,15-Sep-04,15-Sep-04
Panama,Belgium and Luxembourg,26-Mar-09,---
Panama,Canada,12-Sep-96,13-Feb-98
Panama,Chile,8-Nov-96,21-Dec-99
Panama,Cuba,27-Jan-99,11-May-99
Panama,Czech Republic,27-Aug-99,20-Oct-00
Panama,Dominican Republic,6-Feb-03,17-Sep-06
Panama,Finland,19-Feb-09,11-Nov-10
Panama,France,5-Nov-82,9-Oct-85
Panama,Germany,2-Nov-83,10-Mar-89
Panama,Haiti,7-Feb-12,---
Panama,Italy,6-Feb-09,12-Oct-10
Panama,"Korea, Republic of",10-Jul-01,8-Feb-02
Panama,Mexico,11-Oct-05,14-Dec-06
Panama,Netherlands,28-Aug-00,1-Sep-01
Panama,Qatar,24-Feb-10,---
Panama,Spain,10-Nov-97,31-Jul-98
Panama,Sweden,15-Jan-08,1-Sep-08
Panama,Switzerland,19-Oct-83,22-Aug-85
Panama,Taiwan Province of China,26-Mar-92,14-Jul-92
Panama,United Kingdom,7-Oct-83,7-Nov-85
Panama,United States,27-Oct-82,30-May-91
Panama,Uruguay,18-Feb-98,14-Aug-02
