Reporter,Partner,Date of Signature,Date of entry into force
Paraguay,Austria,13-Aug-93,1-Jan-00
Paraguay,Belgium and Luxembourg,6-Oct-92,9-Jan-04
Paraguay,Bolivia,3-May-01,---
Paraguay,Chile,7-Aug-95,17-Dec-97
Paraguay,Costa Rica,29-Jan-98,25-May-01
Paraguay,Cuba,21-Nov-00,6-Dec-02
Paraguay,Czech Republic,21-Oct-98,24-Mar-00
Paraguay,Denmark,22-Apr-93,---
Paraguay,El Salvador,30-Jan-98,8-Nov-98
Paraguay,France,30-Nov-78,11-Dec-80
Paraguay,Germany,11-Aug-93,3-Jul-98
Paraguay,Hungary,11-Aug-93,1-Apr-95
Paraguay,Italy,15-Jul-99,---
Paraguay,"Korea, Republic of",22-Dec-92,6-Aug-93
Paraguay,Netherlands,29-Oct-92,1-Aug-94
Paraguay,Peru,1-Feb-94,18-Dec-94
Paraguay,Portugal,24-Nov-99,4-Nov-01
Paraguay,Romania,21-May-94,12-Apr-95
Paraguay,South Africa,3-Apr-74,16-Jun-74
Paraguay,Spain,11-Oct-93,22-Nov-96
Paraguay,Switzerland,31-Jan-92,28-Sep-92
Paraguay,Taiwan Province of China,6-Apr-92,11-Sep-92
Paraguay,United Kingdom,4-Jun-81,23-Apr-92
Paraguay,Venezuela,5-Sep-96,14-Nov-97
