Reporter,Partner,Date of Signature,Date of entry into force
Peru,Argentina,10-Nov-94,24-Oct-96
Peru,Australia,7-Dec-95,2-Feb-97
Peru,Belgium and Luxembourg,12-Oct-05,12-Sep-08
Peru,Bolivia,30-Jul-93,19-Mar-95
Peru,Canada,14-Nov-06,20-Jun-07
Peru,Chile,2-Feb-00,11-Aug-01
Peru,China,9-Jun-94,1-Feb-95
Peru,Colombia,11-Dec-07,30-Dec-10
Peru,Cuba,10-Oct-00,25-Nov-01
Peru,Czech Republic,16-Mar-94,6-Mar-95
Peru,Denmark,23-Nov-94,17-Feb-95
Peru,Ecuador,7-Apr-99,9-Dec-99
Peru,El Salvador,13-Jun-96,15-Dec-96
Peru,Finland,2-May-95,14-Jun-96
Peru,France,6-Oct-93,30-May-96
Peru,Germany,30-Jan-95,1-May-97
Peru,Italy,5-May-94,18-Oct-95
Peru,Japan,22-Nov-08,10-Dec-09
Peru,"Korea, Republic of",3-Jun-93,20-Apr-94
Peru,Malaysia,13-Oct-95,25-Dec-95
Peru,Netherlands,27-Dec-94,1-Feb-96
Peru,Norway,10-Mar-95,9-May-95
Peru,Paraguay,1-Feb-94,18-Dec-94
Peru,Portugal,22-Nov-94,18-Oct-95
Peru,Romania,16-May-94,1-Jan-95
Peru,Singapore,27-Feb-03,---
Peru,Spain,17-Nov-94,16-Feb-96
Peru,Sweden,3-May-94,1-Aug-94
Peru,Switzerland,22-Nov-91,23-Nov-93
Peru,Thailand,15-Nov-91,15-Nov-91
Peru,United Kingdom,4-Oct-93,21-Apr-94
Peru,Venezuela,12-Jan-96,18-Sep-97
