Reporter,Partner,Date of Signature,Date of entry into force
Philippines,Argentina,20-Sep-99,1-Jan-02
Philippines,Australia,25-Jan-95,8-Dec-95
Philippines,Austria,11-Apr-02,1-Dec-03
Philippines,Bangladesh,8-Sep-97,1-Aug-98
Philippines,Belgium and Luxembourg,14-Jan-98,19-Dec-03
Philippines,Cambodia,16-Aug-00,---
Philippines,Canada,10-Nov-95,1-Nov-96
Philippines,Chile,20-Nov-95,6-Aug-97
Philippines,China,20-Jul-92,8-Sep-95
Philippines,Czech Republic,5-Apr-95,4-Apr-96
Philippines,Denmark,25-Sep-97,19-Apr-98
Philippines,Finland,25-Mar-98,16-Apr-99
Philippines,France,13-Sep-94,13-Jun-96
Philippines,Germany,18-Apr-97,1-Feb-00
Philippines,India,28-Jan-00,29-Jan-01
Philippines,Indonesia,12-Nov-01,---
Philippines,"Iran, Islamic Republic of",8-Oct-95,---
Philippines,Italy,17-Jun-88,4-Nov-93
Philippines,"Korea, Republic of",7-Apr-94,25-Sep-96
Philippines,Mongolia,1-Sep-00,1-Nov-01
Philippines,Myanmar,17-Feb-98,11-Sep-98
Philippines,Netherlands,27-Feb-85,1-Oct-87
Philippines,Pakistan,23-Apr-99,---
Philippines,Portugal,8-Nov-02,14-Aug-03
Philippines,Romania,18-May-94,14-Jun-98
Philippines,Russian Federation,12-Sep-97,29-Oct-98
Philippines,Saudi Arabia,17-Oct-94,11-Nov-96
Philippines,Spain,19-Oct-93,21-Sep-94
Philippines,Sweden,17-Aug-99,---
Philippines,Switzerland,31-Mar-97,23-Apr-99
Philippines,Taiwan Province of China,28-Feb-92,28-Feb-92
Philippines,Thailand,30-Sep-95,6-Sep-96
Philippines,Turkey,22-Feb-99,17-Feb-06
Philippines,United Kingdom,3-Dec-80,2-Jan-81
Philippines,VietNam,27-Feb-92,29-Jan-93
