Reporter,Partner,Date of Signature,Date of entry into force
Poland,Albania,1-Nov-06,---
Poland,Argentina,31-Jul-91,1-Sep-92
Poland,Australia,7-May-91,27-Mar-92
Poland,Austria,24-Nov-88,1-Nov-89
Poland,Azerbaijan,26-Aug-97,10-Feb-99
Poland,Bangladesh,8-Jul-97,19-Nov-99
Poland,Belarus,24-Apr-92,18-Jan-93
Poland,Belgium and Luxembourg,19-May-87,2-Aug-91
Poland,Bulgaria,11-Apr-94,9-Mar-95
Poland,Canada,26-Oct-90,22-Nov-90
Poland,Chile,5-Jul-95,17-Jan-00
Poland,China,7-Jun-88,8-Jan-89
Poland,Croatia,21-Feb-95,4-Oct-95
Poland,Cyprus,4-Jun-92,6-Jul-93
Poland,Czech Republic,16-Jul-93,29-Jun-94
Poland,Denmark,1-May-90,13-Oct-90
Poland,Egypt,1-Jul-95,17-Jan-98
Poland,Estonia,6-May-93,6-Aug-93
Poland,Finland,25-Nov-96,13-Mar-98
Poland,France,14-Feb-89,10-Feb-90
Poland,Germany,10-Nov-89,24-Feb-91
Poland,Greece,14-Oct-92,20-Feb-95
Poland,Hungary,23-Sep-92,16-Jun-95
Poland,India,7-Oct-96,31-Dec-97
Poland,Indonesia,6-Oct-92,1-Jul-93
Poland,"Iran, Islamic Republic of",2-Oct-98,26-Oct-01
Poland,Israel,22-May-91,6-May-92
Poland,Italy,10-May-89,9-Jan-93
Poland,Jordan,4-Oct-97,14-Aug-99
Poland,Kazakhstan,21-Sep-94,25-May-95
Poland,"Korea, Republic of",1-Nov-89,2-Feb-90
Poland,Kuwait,5-Mar-90,18-Dec-93
Poland,Latvia,26-Apr-93,19-Jul-93
Poland,Lithuania,28-Sep-92,6-Aug-93
Poland,"Macedonia, TFYR",28-Nov-96,22-Apr-97
Poland,Malaysia,21-Apr-93,23-Mar-94
Poland,"Moldova, Republic of",15-Nov-94,27-Jul-95
Poland,Mongolia,8-Nov-95,26-Mar-96
Poland,Montenegro,25-Oct-79,---
Poland,Morocco,24-Oct-94,9-Jul-99
Poland,Netherlands,7-Sep-92,1-Feb-94
Poland,Norway,5-Jun-90,24-Oct-90
Poland,Portugal,11-Mar-93,9-Nov-93
Poland,Romania,23-Jun-94,30-Dec-94
Poland,Russian Federation,2-Oct-92,---
Poland,Serbia,3-Sep-96,23-Jan-97
Poland,Singapore,3-Jun-93,29-Dec-93
Poland,Slovakia,18-Aug-94,14-Mar-96
Poland,Slovenia,28-Jun-96,31-Mar-00
Poland,Spain,30-Jul-92,1-May-93
Poland,Sweden,13-Oct-89,4-Jan-90
Poland,Switzerland,8-Nov-89,18-Apr-90
Poland,Thailand,18-Dec-92,10-Aug-93
Poland,Tunisia,29-Mar-93,22-Sep-93
Poland,Turkey,21-Aug-91,19-Aug-94
Poland,Ukraine,12-Jan-93,14-Sep-93
Poland,United Arab Emirates,31-Jan-93,9-Apr-94
Poland,United Kingdom,8-Dec-87,14-Apr-88
Poland,United States,21-Mar-90,6-Aug-94
Poland,Uruguay,2-Aug-91,21-Oct-94
Poland,Uzbekistan,11-Jan-95,29-Apr-95
Poland,VietNam,31-Aug-94,24-Nov-94
