Reporter,Partner,Date of Signature,Date of entry into force
Qatar,Albania,18-Oct-11,---
Qatar,Algeria,24-Oct-96,---
Qatar,Armenia,22-Apr-02,---
Qatar,Azerbaijan,28-Aug-07,---
Qatar,Belarus,17-Feb-01,6-Aug-04
Qatar,Belgium and Luxembourg,6-Nov-07,---
Qatar,Bosnia and Herzegovina,1-Jun-98,5-Feb-09
Qatar,Chad,22-Nov-99,---
Qatar,China,9-Apr-99,1-Apr-00
Qatar,Costa Rica,25-Dec-10,---
Qatar,Croatia,12-Nov-01,---
Qatar,Cuba,6-Nov-01,---
Qatar,Cyprus,11-Nov-08,---
Qatar,Egypt,12-Feb-99,14-Jul-06
Qatar,Eritrea,7-Aug-00,---
Qatar,Finland,12-Nov-01,8-May-03
Qatar,France,8-Jul-96,27-Jul-00
Qatar,Gambia,17-May-02,---
Qatar,Germany,14-Jun-96,19-Jan-99
Qatar,India,7-Apr-99,15-Dec-99
Qatar,Indonesia,18-Apr-00,---
Qatar,"Iran, Islamic Republic of",20-May-99,5-Nov-01
Qatar,Italy,22-Mar-00,8-Jan-04
Qatar,Jordan,28-Jan-09,---
Qatar,Kazakhstan,4-Mar-08,---
Qatar,"Korea, Republic of",16-Apr-99,16-May-99
Qatar,Lebanon,28-Apr-10,---
Qatar,Libyan Arab Jamahiriya,28-Apr-04,---
Qatar,"Macedonia, TFYR",20-May-11,13-Feb-12
Qatar,Mali,18-May-02,---
Qatar,Mauritania,25-Dec-03,---
Qatar,Mongolia,29-Nov-07,---
Qatar,Montenegro,17-Feb-09,---
Qatar,Morocco,20-Feb-99,21-May-01
Qatar,Pakistan,6-Apr-99,---
Qatar,Panama,24-Feb-10,---
Qatar,Portugal,21-Apr-09,---
Qatar,Romania,6-Jun-96,27-Apr-97
Qatar,Russian Federation,12-Feb-07,4-Jun-09
Qatar,Senegal,10-Jun-98,---
Qatar,South Africa,20-Oct-03,---
Qatar,Sudan,3-Jun-98,---
Qatar,Switzerland,12-Nov-01,15-Jul-04
Qatar,Syrian Arab Republic,24-Oct-03,---
Qatar,Tajikistan,6-May-07,---
Qatar,Timor-Leste,21-Jan-12,---
Qatar,Tunisia,28-May-96,---
Qatar,Turkey,25-Dec-01,12-Feb-08
Qatar,Yemen,7-Aug-00,---
