Reporter,Partner,Date of Signature,Date of entry into force
Senegal,Argentina,6-Apr-93,1-Feb-10
Senegal,Egypt,5-Mar-98,---
Senegal,Germany,24-Jan-64,16-Jan-66
Senegal,India,3-Jul-08,---
Senegal,Italy,13-Oct-00,---
Senegal,"Korea, Republic of",12-Jul-84,2-Sep-85
Senegal,Malaysia,11-Feb-99,---
Senegal,Mali,12-Apr-05,---
Senegal,Mauritius,14-Mar-02,14-Oct-09
Senegal,Morocco,15-Nov-06,---
Senegal,Netherlands,3-Aug-79,5-May-81
Senegal,Portugal,25-Jan-11,---
Senegal,Qatar,10-Jun-98,---
Senegal,Romania,19-Jun-80,20-May-84
Senegal,South Africa,5-Jun-98,---
Senegal,Spain,22-Nov-07,---
Senegal,Sweden,24-Feb-67,23-Feb-68
Senegal,Switzerland,16-Aug-62,13-Aug-64
Senegal,Syrian Arab Republic,14-Nov-75,---
Senegal,Taiwan Province of China,24-Oct-97,---
Senegal,Tunisia,17-May-84,---
Senegal,Turkey,15-Jun-10,---
Senegal,United Kingdom,7-May-80,9-Feb-84
Senegal,United States,6-Dec-83,25-Oct-90
