Reporter,Partner,Date of Signature,Date of entry into force
Serbia,Albania,26-Nov-02,14-May-04
Serbia,Algeria,13-Feb-12,---
Serbia,Austria,12-Oct-01,1-Aug-02
Serbia,Azerbaijan,8-Jun-11,14-Dec-11
Serbia,Belarus,6-Mar-96,25-Jan-97
Serbia,Belgium and Luxembourg,6-Mar-04,12-Aug-07
Serbia,Bosnia and Herzegovina,18-Dec-01,25-Aug-04
Serbia,Bulgaria,13-Feb-96,13-Sep-96
Serbia,China,18-Dec-95,13-Sep-96
Serbia,Croatia,18-Aug-98,31-Jan-02
Serbia,Cyprus,21-Jul-05,9-Dec-05
Serbia,Czech Republic,4-Jun-10,16-Mar-11
Serbia,Denmark,15-May-09,---
Serbia,Egypt,24-May-05,---
Serbia,Finland,23-May-05,29-Oct-05
Serbia,France,28-Mar-74,3-Mar-75
Serbia,Germany,10-Jul-89,25-Oct-90
Serbia,Ghana,25-Apr-00,7-Jul-00
Serbia,Greece,25-Jun-97,13-Mar-98
Serbia,Guinea,22-Oct-96,13-Mar-98
Serbia,Hungary,20-Jun-01,30-Mar-05
Serbia,India,31-Jan-03,24-Feb-09
Serbia,Indonesia,6-Sep-11,---
Serbia,"Iran, Islamic Republic of",5-Dec-03,7-Jul-06
Serbia,Israel,28-Jul-04,31-Dec-04
Serbia,Italy,11-Dec-00,18-May-01
Serbia,Kazakhstan,7-Oct-10,---
Serbia,"Korea, DPR",26-Aug-98,14-Aug-00
Serbia,Kuwait,19-Jan-04,1-Apr-05
Serbia,Libyan Arab Jamahiriya,18-Feb-04,29-Oct-05
Serbia,Lithuania,29-Mar-05,2-Dec-05
Serbia,"Macedonia, TFYR",4-Sep-96,11-Oct-96
Serbia,Malta,2-Jul-10,---
Serbia,Montenegro,29-Oct-09,---
Serbia,Netherlands,16-Apr-07,---
Serbia,Nigeria,1-Jun-02,7-Feb-03
Serbia,Poland,3-Sep-96,23-Jan-97
Serbia,Portugal,19-Sep-09,24-Jul-10
Serbia,Romania,28-Nov-95,13-Sep-96
Serbia,Russian Federation,11-Oct-95,29-Dec-95
Serbia,Slovakia,11-Sep-04,13-Oct-05
Serbia,Slovenia,18-Jun-02,1-May-04
Serbia,Spain,25-Jun-02,31-Mar-04
Serbia,Sweden,10-Nov-78,21-Nov-79
Serbia,Switzerland,7-Dec-05,20-Jul-11
Serbia,Turkey,2-Mar-01,10-Dec-03
Serbia,Ukraine,9-Jan-01,14-Aug-01
Serbia,United Kingdom,6-Nov-02,14-May-04
Serbia,Zimbabwe,19-Sep-96,22-Jul-97
