Reporter,Partner,Date of Signature,Date of entry into force
South Africa,Algeria,24-Sep-00,---
South Africa,Angola,17-Feb-05,---
South Africa,Argentina,23-Jul-98,1-Jan-01
South Africa,Austria,28-Nov-96,1-Jan-98
South Africa,Belgium and Luxembourg,14-Aug-98,14-Mar-03
South Africa,Brunei Darussalam,14-Nov-00,---
South Africa,Canada,27-Nov-95,---
South Africa,Chile,12-Nov-98,---
South Africa,China,30-Dec-97,1-Apr-98
South Africa,Congo,1-Dec-05,---
South Africa,"Congo, DR",31-Aug-04,---
South Africa,Cuba,8-Dec-95,7-Apr-97
South Africa,Czech Republic,14-Dec-98,17-Sep-99
South Africa,Denmark,22-Feb-96,23-Apr-97
South Africa,Egypt,28-Oct-98,---
South Africa,Equatorial Guinea,17-Feb-04,---
South Africa,Ethiopia,1-Jan-08,---
South Africa,Finland,14-Sep-98,3-Oct-99
South Africa,France,11-Oct-95,22-Jun-97
South Africa,Germany,11-Sep-95,10-Apr-98
South Africa,Ghana,9-Jul-98,---
South Africa,Greece,19-Nov-98,5-Sep-01
South Africa,"Iran, Islamic Republic of",3-Nov-97,5-Mar-02
South Africa,Israel,21-Oct-04,---
South Africa,Italy,9-Jun-97,16-Mar-99
South Africa,"Korea, Republic of",7-Jul-95,6-Jun-97
South Africa,Libyan Arab Jamahiriya,14-Jun-02,---
South Africa,Madagascar,13-Dec-06,---
South Africa,Mauritius,17-Feb-98,7-Oct-98
South Africa,Mozambique,6-May-97,28-Jul-98
South Africa,Netherlands,9-May-95,1-May-99
South Africa,Paraguay,3-Apr-74,16-Jun-74
South Africa,Qatar,20-Oct-03,---
South Africa,Russian Federation,23-Nov-98,12-Apr-00
South Africa,Rwanda,19-Oct-00,---
South Africa,Senegal,5-Jun-98,---
South Africa,Spain,30-Sep-98,23-Dec-99
South Africa,Sweden,25-May-98,1-Jan-99
South Africa,Switzerland,27-Jun-95,29-Nov-97
South Africa,"Tanzania, United Republic",22-Sep-05,---
South Africa,Tunisia,28-Feb-02,---
South Africa,Turkey,23-Jun-00,---
South Africa,Uganda,8-May-00,---
South Africa,United Kingdom,20-Sep-94,27-May-98
South Africa,Yemen,1-Aug-02,---
South Africa,Zimbabwe,27-Nov-09,---
