Reporter,Partner,Date of Signature,Date of entry into force
Spain,Albania,5-Jun-03,14-Jan-04
Spain,Algeria,23-Dec-94,17-Jan-96
Spain,Angola,21-Nov-07,---
Spain,Argentina,3-Oct-91,28-Sep-92
Spain,Armenia,26-Oct-90,28-Nov-91
Spain,Azerbaijan,26-Oct-90,28-Nov-91
Spain,Bahrain,22-May-08,---
Spain,Belarus,26-Oct-90,28-Nov-91
Spain,Bolivia,29-Oct-01,9-Jul-02
Spain,Bosnia and Herzegovina,25-Apr-02,21-May-03
Spain,Bulgaria,5-Sep-95,22-Apr-98
Spain,Chile,2-Oct-91,28-Mar-94
Spain,China,14-Nov-05,1-Jul-08
Spain,Colombia,31-Mar-05,22-Sep-07
Spain,Congo,18-Dec-08,---
Spain,Costa Rica,8-Jul-97,9-Jun-99
Spain,Croatia,21-Jul-97,17-Sep-98
Spain,Cuba,27-May-94,9-Jun-95
Spain,Czech Republic,12-Dec-90,28-Nov-91
Spain,Dominican Republic,16-Mar-95,7-Oct-96
Spain,Ecuador,26-Jun-96,18-Jun-97
Spain,Egypt,3-Nov-92,26-Apr-94
Spain,El Salvador,14-Feb-95,20-Feb-96
Spain,Equatorial Guinea,22-Nov-03,22-Nov-03
Spain,Estonia,11-Nov-97,1-Jul-98
Spain,Ethiopia,17-Mar-09,---
Spain,Gabon,2-Mar-95,12-Dec-01
Spain,Gambia,17-Dec-08,---
Spain,Georgia,26-Oct-90,28-Nov-91
Spain,Ghana,6-Oct-06,---
Spain,Guatemala,9-Dec-02,21-May-04
Spain,Haiti,17-Nov-12,---
Spain,Honduras,18-Mar-94,23-May-96
Spain,Hungary,9-Nov-89,1-Aug-92
Spain,India,30-Sep-97,15-Dec-98
Spain,Indonesia,30-May-95,18-Dec-96
Spain,"Iran, Islamic Republic of",29-Oct-02,13-Jul-04
Spain,Jamaica,13-Mar-02,25-Nov-02
Spain,Jordan,20-Oct-99,13-Dec-00
Spain,Kazakhstan,23-Mar-94,22-Jun-95
Spain,"Korea, Republic of",17-Jan-94,19-Jul-94
Spain,Kuwait,8-Sep-05,8-Mar-08
Spain,Kyrgyzstan,26-Oct-90,28-Nov-91
Spain,Latvia,26-Oct-95,14-Mar-97
Spain,Lebanon,22-Feb-96,29-Apr-97
Spain,Libyan Arab Jamahiriya,17-Dec-07,1-Aug-09
Spain,Lithuania,6-Jul-94,22-Dec-95
Spain,"Macedonia, TFYR",20-Jun-05,30-Jan-07
Spain,Malaysia,4-Apr-95,16-Feb-96
Spain,Mauritania,24-Jul-08,---
Spain,Mexico,10-Oct-06,3-Apr-08
Spain,"Moldova, Republic of",11-May-06,17-Jan-07
Spain,Montenegro,25-Jun-02,31-Mar-04
Spain,Morocco,11-Dec-97,13-Apr-05
Spain,Mozambique,18-Oct-10,---
Spain,Namibia,21-Feb-03,28-Jun-04
Spain,Nicaragua,16-Mar-94,28-Mar-95
Spain,Nigeria,9-Jul-02,19-Jan-06
Spain,Pakistan,15-Sep-94,26-Apr-96
Spain,Panama,10-Nov-97,31-Jul-98
Spain,Paraguay,11-Oct-93,22-Nov-96
Spain,Peru,17-Nov-94,16-Feb-96
Spain,Philippines,19-Oct-93,21-Sep-94
Spain,Poland,30-Jul-92,1-May-93
Spain,Romania,25-Jan-95,7-Dec-95
Spain,Russian Federation,26-Oct-90,28-Nov-91
Spain,Saudi Arabia,9-Apr-06,---
Spain,Senegal,22-Nov-07,---
Spain,Serbia,25-Jun-02,31-Mar-04
Spain,Slovakia,12-Dec-90,28-Nov-91
Spain,Slovenia,15-Jul-98,3-Apr-00
Spain,South Africa,30-Sep-98,23-Dec-99
Spain,Syrian Arab Republic,20-Oct-03,14-Dec-04
Spain,Tajikistan,26-Oct-90,28-Nov-91
Spain,Trinidad and Tobago,3-Jul-99,17-Sep-04
Spain,Tunisia,28-May-91,20-Jun-94
Spain,Turkey,15-Feb-95,3-Mar-98
Spain,Turkmenistan,26-Oct-90,28-Nov-91
Spain,Ukraine,26-Feb-98,13-Mar-00
Spain,Uruguay,7-Apr-92,6-May-94
Spain,Uzbekistan,28-Jan-03,3-Dec-03
Spain,Venezuela,2-Nov-95,10-Sep-97
Spain,VietNam,20-Feb-06,29-Jul-11
Spain,Yemen,29-Jan-08,---
