Reporter,Partner,Date of Signature,Date of entry into force
Sri Lanka,Australia,12-Nov-02,---
Sri Lanka,Belgium and Luxembourg,5-Apr-82,26-Apr-84
Sri Lanka,China,13-Mar-86,25-Mar-87
Sri Lanka,Czech Republic,28-Mar-11,---
Sri Lanka,Denmark,4-Jun-85,4-Jun-85
Sri Lanka,Egypt,11-Mar-96,10-Mar-98
Sri Lanka,Finland,27-Apr-85,25-Oct-87
Sri Lanka,France,10-Apr-80,19-Apr-82
Sri Lanka,Germany,7-Feb-00,16-Jan-04
Sri Lanka,India,22-Jan-97,13-Feb-98
Sri Lanka,Indonesia,10-Jun-96,21-Jul-97
Sri Lanka,"Iran, Islamic Republic of",25-Jul-00,---
Sri Lanka,Italy,25-Mar-87,20-Mar-90
Sri Lanka,Japan,1-Mar-82,7-Aug-82
Sri Lanka,"Korea, Republic of",28-Mar-80,15-Jul-80
Sri Lanka,Kuwait,11-May-09,---
Sri Lanka,Malaysia,16-Apr-82,31-Oct-95
Sri Lanka,Netherlands,26-Apr-84,1-May-85
Sri Lanka,Norway,13-Jun-85,13-Jun-85
Sri Lanka,Pakistan,20-Dec-97,5-Jan-00
Sri Lanka,Romania,9-Feb-81,3-Jun-82
Sri Lanka,Singapore,9-May-80,30-Sep-80
Sri Lanka,Sweden,30-Apr-82,30-Apr-82
Sri Lanka,Switzerland,23-Sep-81,12-Feb-82
Sri Lanka,Thailand,3-Jan-96,14-May-96
Sri Lanka,United Kingdom,13-Feb-80,18-Dec-80
Sri Lanka,United States,20-Sep-91,1-May-93
Sri Lanka,VietNam,22-Oct-09,---
