Reporter,Partner,Date of Signature,Date of entry into force
Sudan,Algeria,24-Oct-01,---
Sudan,Bahrain,17-Jan-00,---
Sudan,Belgium and Luxembourg,7-Nov-05,---
Sudan,Bulgaria,3-Apr-02,---
Sudan,China,30-May-97,1-Jul-98
Sudan,Egypt,8-Jul-01,1-Apr-03
Sudan,Ethiopia,7-Mar-00,15-May-01
Sudan,France,31-Jul-78,5-Jul-80
Sudan,Germany,7-Feb-63,24-Nov-67
Sudan,India,22-Oct-03,---
Sudan,Indonesia,10-Feb-98,---
Sudan,"Iran, Islamic Republic of",7-Sep-99,19-Oct-01
Sudan,Italy,19-Nov-05,---
Sudan,Jordan,30-Mar-00,3-Feb-01
Sudan,Lebanon,9-Mar-04,21-Apr-07
Sudan,Malaysia,2-Aug-98,---
Sudan,Morocco,23-Feb-99,4-Jul-02
Sudan,Netherlands,22-Aug-70,27-Mar-72
Sudan,Oman,25-Oct-99,28-May-02
Sudan,Qatar,3-Jun-98,---
Sudan,Romania,8-Dec-78,---
Sudan,Switzerland,24-Oct-02,---
Sudan,Syrian Arab Republic,7-Jan-00,1-Sep-01
Sudan,Tunisia,8-Oct-03,---
Sudan,Turkey,19-Dec-99,---
Sudan,United Arab Emirates,4-Apr-11,---
Sudan,Yemen,10-Aug-99,---
