Reporter,Partner,Date of Signature,Date of entry into force
Sweden,Albania,31-Mar-95,1-Apr-96
Sweden,Algeria,15-Feb-03,1-Apr-05
Sweden,Argentina,22-Nov-91,28-Sep-92
Sweden,Armenia,8-Feb-06,1-May-08
Sweden,Belarus,20-Dec-94,1-Nov-96
Sweden,Bosnia and Herzegovina,31-Oct-00,1-Jan-02
Sweden,Bulgaria,19-Apr-94,1-Apr-95
Sweden,Chile,24-May-93,30-Dec-95
Sweden,China,27-Sep-04,27-Sep-04
Sweden,Côte d' Ivoire,27-Aug-65,3-Nov-66
Sweden,Croatia,23-Nov-00,1-Aug-02
Sweden,Czech Republic,13-Nov-90,23-Sep-91
Sweden,Ecuador,31-May-01,1-Mar-02
Sweden,Egypt,15-Jul-78,29-Jan-79
Sweden,Estonia,31-Mar-92,20-May-92
Sweden,Ethiopia,10-Dec-04,1-Oct-05
Sweden,Georgia,30-Oct-08,1-Apr-09
Sweden,Guatemala,12-Feb-04,1-Jul-05
Sweden,"Hong Kong, China",27-May-94,26-Jun-94
Sweden,Hungary,21-Apr-87,21-Apr-87
Sweden,India,4-Jul-00,1-Apr-01
Sweden,Indonesia,17-Sep-92,18-Feb-93
Sweden,"Iran, Islamic Republic of",5-Dec-05,1-Feb-08
Sweden,Kazakhstan,25-Oct-04,1-Aug-06
Sweden,"Korea, Republic of",30-Aug-95,18-Jun-97
Sweden,Kuwait,7-Nov-99,10-May-02
Sweden,Kyrgyzstan,8-Mar-02,1-Apr-03
Sweden,Lao PDR,29-Aug-96,1-Jan-97
Sweden,Latvia,10-Mar-92,6-Nov-92
Sweden,Lebanon,15-Jun-01,2-Nov-01
Sweden,Lithuania,17-Mar-92,1-Sep-92
Sweden,"Macedonia, TFYR",7-May-98,1-Oct-98
Sweden,Madagascar,2-Apr-66,23-Jun-67
Sweden,Malaysia,3-Mar-79,6-Jul-79
Sweden,Malta,24-Aug-99,1-Jan-00
Sweden,Mauritius,23-Feb-04,1-Jun-05
Sweden,Mexico,3-Oct-00,1-Jul-01
Sweden,Mongolia,20-Oct-03,1-Jun-04
Sweden,Morocco,26-Sep-90,16-Jun-08
Sweden,Mozambique,23-Oct-01,1-Nov-07
Sweden,Nicaragua,27-May-99,---
Sweden,Nigeria,18-Apr-02,1-Dec-06
Sweden,Oman,13-Jul-95,6-Jun-96
Sweden,Pakistan,12-Mar-81,14-Jun-81
Sweden,Panama,15-Jan-08,1-Sep-08
Sweden,Peru,3-May-94,1-Aug-94
Sweden,Philippines,17-Aug-99,---
Sweden,Poland,13-Oct-89,4-Jan-90
Sweden,Romania,29-May-02,1-Apr-03
Sweden,Russian Federation,19-Apr-95,7-Jun-96
Sweden,Saudi Arabia,11-Mar-08,1-Oct-09
Sweden,Senegal,24-Feb-67,23-Feb-68
Sweden,Serbia,10-Nov-78,21-Nov-79
Sweden,Slovakia,13-Nov-90,25-Nov-91
Sweden,Slovenia,5-Oct-99,12-May-01
Sweden,South Africa,25-May-98,1-Jan-99
Sweden,Sri Lanka,30-Apr-82,30-Apr-82
Sweden,"Tanzania, United Republic",1-Sep-99,1-Mar-02
Sweden,Thailand,18-Feb-00,23-Nov-00
Sweden,Tunisia,15-Sep-84,13-May-85
Sweden,Turkey,11-Apr-97,8-Oct-98
Sweden,Ukraine,15-Aug-95,1-Mar-97
Sweden,United Arab Emirates,10-Nov-99,6-May-00
Sweden,Uruguay,17-Jun-97,1-Dec-99
Sweden,Uzbekistan,29-May-01,1-Oct-01
Sweden,Venezuela,25-Nov-96,5-Jan-98
Sweden,VietNam,8-Sep-93,2-Aug-94
Sweden,Yemen,29-Oct-83,23-Feb-84
Sweden,Zimbabwe,6-Oct-97,---
