Reporter,Partner,Date of Signature,Date of entry into force
Tajikistan,Algeria,12-Mar-08,---
Tajikistan,Armenia,2-Apr-02,---
Tajikistan,Austria,15-Dec-10,21-Dec-12
Tajikistan,Azerbaijan,17-Mar-07,26-Feb-08
Tajikistan,Belarus,3-Sep-98,25-Aug-99
Tajikistan,Belgium and Luxembourg,12-Feb-09,---
Tajikistan,China,9-Mar-93,20-Jan-94
Tajikistan,Czech Republic,11-Feb-94,6-Dec-95
Tajikistan,France,1-Jan-02,24-Aug-04
Tajikistan,Germany,27-Mar-03,25-May-06
Tajikistan,India,13-Dec-95,14-Nov-03
Tajikistan,Indonesia,28-Oct-03,---
Tajikistan,"Iran, Islamic Republic of",18-Jul-95,3-Nov-04
Tajikistan,"Korea, Republic of",14-Jul-95,13-Aug-95
Tajikistan,Kuwait,18-Apr-95,12-Jun-98
Tajikistan,Kyrgyzstan,19-Jan-00,---
Tajikistan,Lithuania,12-Feb-09,---
Tajikistan,"Moldova, Republic of",5-Nov-02,20-Oct-03
Tajikistan,Mongolia,20-Mar-09,16-Sep-09
Tajikistan,Netherlands,24-Jul-02,1-Apr-04
Tajikistan,Pakistan,13-May-04,---
Tajikistan,Qatar,6-May-07,---
Tajikistan,Russian Federation,16-Apr-98,---
Tajikistan,Slovakia,14-Feb-94,12-Mar-96
Tajikistan,Spain,26-Oct-90,28-Nov-91
Tajikistan,Switzerland,11-Jun-09,---
Tajikistan,Syrian Arab Republic,10-Feb-07,---
Tajikistan,Thailand,9-Aug-05,---
Tajikistan,Turkey,6-May-96,24-Jul-98
Tajikistan,Ukraine,6-Jul-01,---
Tajikistan,United Arab Emirates,17-Dec-95,---
Tajikistan,VietNam,19-Jan-99,---
