Reporter,Partner,Date of Signature,Date of entry into force
Thailand,Argentina,18-Feb-00,7-Mar-02
Thailand,Bahrain,21-May-02,17-Jul-02
Thailand,Bangladesh,9-Jun-02,12-Jan-03
Thailand,Belgium and Luxembourg,12-Jun-02,19-Sep-04
Thailand,Bulgaria,11-Sep-03,12-Aug-04
Thailand,Cambodia,29-Mar-95,16-Apr-97
Thailand,Canada,17-Jan-97,24-Sep-98
Thailand,China,12-Mar-85,13-Dec-85
Thailand,Croatia,18-Feb-00,10-Aug-05
Thailand,Czech Republic,12-Feb-94,4-May-95
Thailand,Egypt,18-Feb-00,27-Feb-02
Thailand,Finland,18-Mar-94,18-May-96
Thailand,Germany,24-Jun-02,20-Oct-04
Thailand,"Hong Kong, China",19-Nov-05,18-Apr-06
Thailand,Hungary,18-Oct-91,18-Oct-91
Thailand,India,10-Jul-00,13-Jul-01
Thailand,Indonesia,17-Feb-98,5-Nov-98
Thailand,Israel,18-Feb-00,28-Aug-03
Thailand,Jordan,15-Dec-05,---
Thailand,"Korea, DPR",1-Mar-02,24-May-02
Thailand,"Korea, Republic of",24-Mar-89,30-Sep-89
Thailand,Lao PDR,22-Aug-90,7-Dec-90
Thailand,Myanmar,14-Mar-08,---
Thailand,Netherlands,6-Jun-72,3-Mar-73
Thailand,Peru,15-Nov-91,15-Nov-91
Thailand,Philippines,30-Sep-95,6-Sep-96
Thailand,Poland,18-Dec-92,10-Aug-93
Thailand,Romania,30-Apr-93,20-Aug-94
Thailand,Russian Federation,17-Oct-02,---
Thailand,Slovenia,18-Feb-00,20-Oct-02
Thailand,Sri Lanka,3-Jan-96,14-May-96
Thailand,Sweden,18-Feb-00,23-Nov-00
Thailand,Switzerland,17-Nov-97,21-Jul-99
Thailand,Taiwan Province of China,30-Apr-96,30-Apr-96
Thailand,Tajikistan,9-Aug-05,---
Thailand,Turkey,24-Jun-05,21-Jul-10
Thailand,United Kingdom,28-Nov-78,11-Aug-79
Thailand,VietNam,30-Oct-91,7-Feb-92
Thailand,Zimbabwe,18-Feb-00,---
