Reporter,Partner,Date of Signature,Date of entry into force
Tunisia,Albania,30-Oct-93,---
Tunisia,Algeria,17-Feb-06,---
Tunisia,Argentina,17-Jun-92,23-Jan-95
Tunisia,Austria,1-Jun-95,1-Jan-97
Tunisia,Belgium and Luxembourg,8-Jan-97,18-Oct-02
Tunisia,Bulgaria,24-Nov-00,15-Oct-03
Tunisia,Burkina Faso,7-Jan-93,---
Tunisia,Chile,23-Oct-98,---
Tunisia,China,21-Jun-04,---
Tunisia,Congo,4-Oct-05,---
Tunisia,Côte d' Ivoire,16-May-95,---
Tunisia,Czech Republic,6-Jan-97,8-Jul-98
Tunisia,Denmark,28-Jun-96,11-Apr-97
Tunisia,Egypt,8-Dec-89,2-Jan-91
Tunisia,Ethiopia,14-Dec-00,14-Dec-00
Tunisia,Finland,4-Oct-01,4-Sep-03
Tunisia,France,20-Oct-97,10-Sep-99
Tunisia,Germany,20-Dec-63,6-Feb-66
Tunisia,Greece,31-Oct-92,21-Apr-95
Tunisia,Guinea,18-Nov-90,---
Tunisia,Hungary,13-May-03,---
Tunisia,Indonesia,13-May-92,12-Sep-92
Tunisia,"Iran, Islamic Republic of",23-Apr-01,27-Feb-03
Tunisia,Italy,17-Oct-85,24-Jun-89
Tunisia,Jordan,27-Apr-95,23-Nov-95
Tunisia,"Korea, Republic of",23-May-75,28-Nov-75
Tunisia,Kuwait,14-Sep-73,---
Tunisia,Lebanon,24-Jun-98,4-Jun-00
Tunisia,Libyan Arab Jamahiriya,19-Feb-05,---
Tunisia,Mali,1-Jul-86,---
Tunisia,Malta,26-Oct-00,12-May-02
Tunisia,Mauritania,11-Mar-86,---
Tunisia,Morocco,28-Jan-94,1-Apr-99
Tunisia,Netherlands,11-May-98,1-Aug-99
Tunisia,Niger,5-Jun-92,---
Tunisia,Oman,19-Oct-91,1-Mar-92
Tunisia,Pakistan,18-Apr-96,---
Tunisia,Poland,29-Mar-93,22-Sep-93
Tunisia,Portugal,28-Feb-02,10-Nov-06
Tunisia,Qatar,28-May-96,---
Tunisia,Romania,16-Oct-95,8-Aug-97
Tunisia,Senegal,17-May-84,---
Tunisia,South Africa,28-Feb-02,---
Tunisia,Spain,28-May-91,20-Jun-94
Tunisia,Sudan,8-Oct-03,---
Tunisia,Sweden,15-Sep-84,13-May-85
Tunisia,Switzerland,16-Oct-12,---
Tunisia,Syrian Arab Republic,23-Jan-01,12-Mar-03
Tunisia,Togo,13-Sep-87,---
Tunisia,Turkey,29-May-91,28-Apr-94
Tunisia,United Arab Emirates,10-Apr-96,24-Feb-97
Tunisia,United Kingdom,14-Mar-89,4-Jan-90
Tunisia,United States,15-May-90,7-Feb-93
Tunisia,Yemen,8-Mar-98,---
