Reporter,Partner,Date of Signature,Date of entry into force
Turkmenistan,Armenia,19-Mar-96,---
Turkmenistan,Bahrain,9-Feb-11,---
Turkmenistan,China,21-Nov-92,4-Jun-94
Turkmenistan,Egypt,23-May-95,28-Feb-96
Turkmenistan,France,28-Apr-94,2-May-96
Turkmenistan,Georgia,20-Mar-96,21-Nov-96
Turkmenistan,Germany,28-Aug-97,19-Feb-01
Turkmenistan,India,20-Sep-95,27-Feb-06
Turkmenistan,Indonesia,2-Jun-94,---
Turkmenistan,"Iran, Islamic Republic of",23-Jan-96,29-Apr-04
Turkmenistan,Israel,24-May-95,18-Feb-97
Turkmenistan,Italy,25-Nov-09,---
Turkmenistan,Malaysia,30-May-94,---
Turkmenistan,Pakistan,26-Oct-94,---
Turkmenistan,Romania,16-Nov-94,29-Mar-96
Turkmenistan,Russian Federation,25-Mar-09,23-Aug-10
Turkmenistan,Slovakia,17-Nov-95,10-Mar-99
Turkmenistan,Spain,26-Oct-90,28-Nov-91
Turkmenistan,Switzerland,15-May-08,2-Apr-09
Turkmenistan,Turkey,2-May-92,13-Mar-97
Turkmenistan,Ukraine,29-Jan-98,---
Turkmenistan,United Arab Emirates,9-Jun-98,24-Nov-99
Turkmenistan,United Kingdom,9-Feb-95,9-Feb-95
Turkmenistan,Uzbekistan,16-Jan-96,2-Aug-96
