Reporter,Partner,Date of Signature,Date of entry into force
Uganda,Belgium and Luxembourg,1-Feb-05,---
Uganda,China,27-May-04,---
Uganda,Cuba,1-Jan-02,---
Uganda,Denmark,26-Nov-01,19-Oct-05
Uganda,Egypt,4-Nov-95,---
Uganda,Eritrea,30-Jun-01,---
Uganda,France,3-Jan-03,20-Dec-04
Uganda,Germany,29-Nov-66,19-Aug-68
Uganda,Italy,12-Dec-97,24-Sep-99
Uganda,Netherlands,30-May-00,1-Jan-03
Uganda,Nigeria,15-Jan-03,---
Uganda,South Africa,8-May-00,---
Uganda,Switzerland,23-Aug-71,8-May-72
Uganda,United Kingdom,24-Apr-98,24-Apr-98
Uganda,Zimbabwe,1-Jul-03,---
