Reporter,Partner,Date of Signature,Date of entry into force
United Kingdom,Albania,30-Mar-94,30-Aug-95
United Kingdom,Angola,4-Jul-00,---
United Kingdom,Antigua and Barbuda,12-Jun-87,12-Jun-87
United Kingdom,Argentina,11-Dec-90,19-Feb-93
United Kingdom,Armenia,27-May-93,11-Jul-96
United Kingdom,Azerbaijan,4-Jan-96,11-Dec-96
United Kingdom,Bahrain,30-Oct-91,30-Oct-91
United Kingdom,Bangladesh,19-Jun-80,19-Jun-80
United Kingdom,Barbados,7-Apr-93,7-Apr-93
United Kingdom,Belarus,1-Mar-94,28-Dec-94
United Kingdom,Belize,30-Apr-82,30-Apr-82
United Kingdom,Benin,27-Nov-87,27-Nov-87
United Kingdom,Bolivia,24-May-88,16-Feb-90
United Kingdom,Bosnia and Herzegovina,2-Oct-02,25-Jul-03
United Kingdom,Brazil,19-Jul-94,---
United Kingdom,Bulgaria,11-Dec-95,24-Jun-97
United Kingdom,Burundi,13-Sep-90,13-Sep-90
United Kingdom,Cameroon,4-Jun-82,7-Jun-85
United Kingdom,Chile,8-Jan-96,21-Apr-97
United Kingdom,China,15-May-86,15-May-86
United Kingdom,Colombia,17-Mar-10,---
United Kingdom,Congo,25-May-89,9-Nov-90
United Kingdom,Costa Rica,7-Sep-82,---
United Kingdom,Côte d' Ivoire,8-Jun-95,9-Oct-97
United Kingdom,Croatia,11-Mar-97,16-Apr-98
United Kingdom,Cuba,30-Jan-95,11-May-95
United Kingdom,Czech Republic,10-Jul-90,26-Oct-92
United Kingdom,Dominica,23-Jan-87,23-Jan-87
United Kingdom,Dominican Republic,11-Jul-02,---
United Kingdom,Ecuador,10-May-94,24-Aug-95
United Kingdom,Egypt,11-Jun-75,24-Feb-76
United Kingdom,El Salvador,14-Oct-99,1-Dec-00
United Kingdom,Estonia,12-May-94,16-Dec-94
United Kingdom,Ethiopia,19-Nov-09,---
United Kingdom,Gambia,2-Jul-02,---
United Kingdom,Georgia,15-Feb-95,15-Feb-95
United Kingdom,Ghana,22-Mar-89,25-Oct-91
United Kingdom,Grenada,25-Feb-88,25-Feb-88
United Kingdom,Guyana,27-Oct-89,11-Apr-90
United Kingdom,Haiti,18-Mar-85,27-Mar-95
United Kingdom,Honduras,7-Dec-93,8-Mar-95
United Kingdom,"Hong Kong, China",30-Jul-98,12-Apr-99
United Kingdom,Hungary,9-Mar-87,28-Aug-87
United Kingdom,India,14-Mar-94,6-Jan-95
United Kingdom,Indonesia,27-Apr-76,24-Mar-77
United Kingdom,Jamaica,20-Jan-87,14-May-87
United Kingdom,Jordan,10-Oct-79,24-Apr-80
United Kingdom,Kazakhstan,23-Nov-95,23-Nov-95
United Kingdom,Kenya,13-Sep-99,---
United Kingdom,"Korea, Republic of",4-Mar-76,4-Mar-76
United Kingdom,Kyrgyzstan,8-Dec-94,18-Jun-98
United Kingdom,Lao PDR,1-Jun-95,1-Jun-95
United Kingdom,Latvia,24-Jan-94,16-Feb-95
United Kingdom,Lebanon,16-Feb-99,16-Sep-01
United Kingdom,Lesotho,18-Feb-81,18-Feb-81
United Kingdom,Lithuania,17-May-93,21-Sep-93
United Kingdom,Malaysia,21-May-81,21-Oct-88
United Kingdom,Malta,4-Oct-86,4-Oct-86
United Kingdom,Mauritius,20-May-86,13-Oct-86
United Kingdom,Mexico,12-May-06,25-Jul-07
United Kingdom,"Moldova, Republic of",19-Mar-96,30-Jul-98
United Kingdom,Mongolia,4-Oct-91,4-Oct-91
United Kingdom,Morocco,30-Oct-90,14-Feb-02
United Kingdom,Mozambique,18-Mar-04,12-May-04
United Kingdom,Nepal,2-Mar-93,2-Mar-93
United Kingdom,Nicaragua,4-Dec-96,21-Dec-01
United Kingdom,Nigeria,11-Dec-90,11-Dec-90
United Kingdom,Oman,25-Nov-95,21-May-96
United Kingdom,Pakistan,30-Nov-94,30-Nov-94
United Kingdom,Panama,7-Oct-83,7-Nov-85
United Kingdom,Papua New Guinea,14-May-81,22-Dec-81
United Kingdom,Paraguay,4-Jun-81,23-Apr-92
United Kingdom,Peru,4-Oct-93,21-Apr-94
United Kingdom,Philippines,3-Dec-80,2-Jan-81
United Kingdom,Poland,8-Dec-87,14-Apr-88
United Kingdom,Romania,13-Jul-95,10-Jan-96
United Kingdom,Russian Federation,6-Apr-89,3-Jul-91
United Kingdom,Saint Lucia,18-Jan-83,18-Jan-83
United Kingdom,Senegal,7-May-80,9-Feb-84
United Kingdom,Serbia,6-Nov-02,14-May-04
United Kingdom,Sierra Leone,13-Jan-00,---
United Kingdom,Singapore,22-Jul-75,22-Jul-75
