Reporter,Partner,Date of Signature,Date of entry into force
United States,Albania,11-Jan-95,4-Jan-98
United States,Argentina,14-Nov-91,20-Oct-94
United States,Armenia,23-Sep-92,29-Mar-96
United States,Azerbaijan,1-Aug-97,2-Aug-01
United States,Bahrain,29-Sep-99,30-May-01
United States,Bangladesh,12-Mar-86,25-Jul-89
United States,Belarus,15-Jan-94,---
United States,Bulgaria,23-Sep-92,2-Jun-94
United States,Cameroon,26-Feb-86,6-Apr-89
United States,Congo,12-Feb-90,13-Aug-94
United States,"Congo, DR",3-Aug-84,28-Jul-89
United States,Croatia,13-Jul-96,20-Jun-01
United States,Czech Republic,10-Dec-03,10-Aug-04
United States,Ecuador,27-Aug-93,11-May-97
United States,Egypt,11-Mar-86,27-Jun-92
United States,El Salvador,10-Mar-99,---
United States,Estonia,19-Apr-94,16-Feb-97
United States,Georgia,7-Mar-94,10-Aug-99
United States,Grenada,2-May-86,3-Mar-89
United States,Haiti,13-Dec-83,---
United States,Honduras,1-Jul-95,11-Jul-01
United States,Jamaica,4-Feb-94,7-Mar-97
United States,Jordan,2-Jul-97,12-Jun-03
United States,Kazakhstan,19-May-92,12-Jan-94
United States,Kyrgyzstan,19-Jan-93,11-Jan-94
United States,Latvia,13-Jan-95,26-Dec-96
United States,Lithuania,14-Jan-98,22-Nov-01
United States,"Moldova, Republic of",21-Apr-93,26-Nov-94
United States,Mongolia,6-Oct-94,4-Jan-97
United States,Morocco,22-Jul-85,29-May-91
United States,Mozambique,1-Dec-98,3-Mar-05
United States,Nicaragua,1-Jul-95,---
United States,Panama,27-Oct-82,30-May-91
United States,Poland,21-Mar-90,6-Aug-94
United States,Romania,28-May-92,15-Jan-94
United States,Russian Federation,17-Jun-92,---
United States,Rwanda,19-Feb-08,1-Jan-12
United States,Senegal,6-Dec-83,25-Oct-90
United States,Slovakia,22-Oct-91,19-Dec-92
United States,Sri Lanka,20-Sep-91,1-May-93
United States,Trinidad and Tobago,26-Sep-94,26-Dec-96
United States,Tunisia,15-May-90,7-Feb-93
United States,Turkey,3-Dec-85,18-May-90
United States,Ukraine,4-Mar-94,16-Nov-96
United States,Uruguay,4-Nov-05,1-Nov-06
United States,Uzbekistan,16-Dec-94,---
