Reporter,Partner,Date of Signature,Date of entry into force
Honduras,Chile,11-Nov-96,10-Jan-02
Honduras,Cuba,9-Aug-01,---
Honduras,France,28-Apr-98,8-Mar-01
Honduras,Germany,21-Mar-95,27-May-98
Honduras,"Korea, Republic of",24-Oct-00,19-Jul-01
Honduras,Netherlands,15-Jan-01,1-Sep-02
Honduras,Spain,18-Mar-94,23-May-96
Honduras,Switzerland,14-Oct-93,31-Aug-94
Honduras,Taiwan Province of China,26-Feb-96,---
Honduras,United Kingdom,7-Dec-93,8-Mar-95
Honduras,United States,1-Jul-95,11-Jul-01
